table_name,,title,,,,,,,
home_care,,訪問介護,,,,,,,
,,,,,,,,,
No,項目名,型,長さ,少数,必須,PK,備考,diffid,
1,office_id,INT,11,,Y,1,,,
2,name,TEXT,,,,,事業所名称,175,.innerHTML
3,company_type,NVARCHAR,20,,,,法人の種類,1,.innerHTML
4,company,TEXT,,,,,法人名称,4,.innerHTML
5,postcode,NVARCHAR,20,,,,郵便番号,176,.innerHTML
6,municipality,TEXT,,,,,市区町村コード,177,.innerHTML
7,address_1,TEXT,,,,,住所１,178,.innerHTML
8,address_2,TEXT,,,,,住所２,179,.innerHTML
9,tel,NVARCHAR,60,,,,電話番号,180,.innerHTML
10,fax,NVARCHAR,60,,,,FAX番号,181,.innerHTML
11,hp_address,TEXT,,,,,ホームページ,183,".attr(""href"")"
12,office_no,NVARCHAR,10,,,,介護保険事業所番号,184,.innerHTML
13,manager_name,NVARCHAR,20,,,,事業所の管理者の氏名,185,.innerHTML
14,founding_day,TEXT,,,,,事業の開始（予定）年月日,188,.innerHTML
15,traffic,TEXT,,,,,事業所までの主な利用交通手段,194,.innerHTML
16,home_helper_00,NVARCHAR,4,,,,訪問介護員等（常勤・専従）,195,.innerHTML
17,home_helper_01,NVARCHAR,4,,,,訪問介護員等（常勤・非専従）,196,.innerHTML
18,home_helper_10,NVARCHAR,4,,,,訪問介護員等（非常勤・専従）,197,.innerHTML
19,home_helper_11,NVARCHAR,4,,,,訪問介護員等（非常勤・非専従）,198,.innerHTML
20,clerk_00,NVARCHAR,4,,,,事務員（常勤・専従）,204,.innerHTML
21,clerk_01,NVARCHAR,4,,,,事務員（常勤・非専従）,205,.innerHTML
22,clerk_10,NVARCHAR,4,,,,事務員（非常勤・専従）,206,.innerHTML
23,clerk_11,NVARCHAR,4,,,,事務員（非常勤・非専従）,207,.innerHTML
24,otherwork_00,NVARCHAR,4,,,,その他の従業者（常勤・専従）,209,.innerHTML
25,otherwork_01,NVARCHAR,4,,,,その他の従業者（常勤・非専従）,210,.innerHTML
26,otherwork_10,NVARCHAR,4,,,,その他の従業者（非常勤・専従）,211,.innerHTML
27,otherwork_11,NVARCHAR,4,,,,その他の従業者（非常勤・非専従）,212,.innerHTML
28,l_care_worker_00,NVARCHAR,4,,,,介護福祉士（常勤・専従）,215,.innerHTML
29,l_care_worker_01,NVARCHAR,4,,,,介護福祉士（常勤・非専従）,216,.innerHTML
30,l_care_worker_10,NVARCHAR,4,,,,介護福祉士（非常勤・専従）,217,.innerHTML
31,l_care_worker_11,NVARCHAR,4,,,,介護福祉士（非常勤・非専従）,218,.innerHTML
32,l_practical_training_00,NVARCHAR,4,,,,実務者研修（常勤・専従）,222,.innerHTML
33,l_practical_training_01,NVARCHAR,4,,,,実務者研修（常勤・非専従）,223,.innerHTML
34,l_practical_training_10,NVARCHAR,4,,,,実務者研修（非常勤・専従）,224,.innerHTML
35,l_practical_training_11,NVARCHAR,4,,,,実務者研修（非常勤・非専従）,225,.innerHTML
36,l_care_basis_00,NVARCHAR,4,,,,介護職員基礎研修（常勤・専従）,229,.innerHTML
37,l_care_basis_01,NVARCHAR,4,,,,介護職員基礎研修（常勤・非専従）,230,.innerHTML
38,l_care_basis_10,NVARCHAR,4,,,,介護職員基礎研修（非常勤・専従）,231,.innerHTML
39,l_care_basis_11,NVARCHAR,4,,,,介護職員基礎研修（非常勤・非専従）,232,.innerHTML
40,l_home_helper1_00,NVARCHAR,4,,,,訪問介護員　１級（常勤・専従）,236,.innerHTML
41,l_home_helper1_01,NVARCHAR,4,,,,訪問介護員　１級（常勤・非専従）,237,.innerHTML
42,l_home_helper1_10,NVARCHAR,4,,,,訪問介護員　１級（非常勤・専従）,238,.innerHTML
43,l_home_helper1_11,NVARCHAR,4,,,,訪問介護員　１級（非常勤・非専従）,239,.innerHTML
44,l_home_helper2_00,NVARCHAR,4,,,,訪問介護員　２級（常勤・専従）,243,.innerHTML
45,l_home_helper2_01,NVARCHAR,4,,,,訪問介護員　２級（常勤・非専従）,244,.innerHTML
46,l_home_helper2_10,NVARCHAR,4,,,,訪問介護員　２級（非常勤・専従）,245,.innerHTML
47,l_home_helper2_11,NVARCHAR,4,,,,訪問介護員　２級（非常勤・非専従）,246,.innerHTML
48,l_home_helper_traning_00,NVARCHAR,4,,,,訪問介護員養成研修に相当するものとして都道府県知事が認めた研修の修了者（常勤・専従）,250,.innerHTML
49,l_home_helper_traning_01,NVARCHAR,4,,,,訪問介護員養成研修に相当するものとして都道府県知事が認めた研修の修了者（常勤・非専従）,251,.innerHTML
50,l_home_helper_traning_10,NVARCHAR,4,,,,訪問介護員養成研修に相当するものとして都道府県知事が認めた研修の修了者（非常勤・専従）,252,.innerHTML
51,l_home_helper_traning_11,NVARCHAR,4,,,,訪問介護員養成研修に相当するものとして都道府県知事が認めた研修の修了者（非常勤・非専従）,253,.innerHTML
52,office_time_week,TEXT,,,,,営業時間（平日）,282,.innerHTML
53,office_time_sat,TEXT,,,,,営業時間（土曜）,283,.innerHTML
54,office_time_sun,TEXT,,,,,営業時間（日曜）,284,.innerHTML
55,office_time_hol,TEXT,,,,,営業時間（祝日）,285,.innerHTML
56,office_time_reghol,TEXT,,,,,営業時間（定休日）,286,.innerHTML
57,office_time_memo,TEXT,,,,,営業時間（留意事項）,287,.innerHTML
58,service_time_week,TEXT,,,,,サービス利用時間（平日）,288,.innerHTML
59,service_time_sat,TEXT,,,,,サービス利用時間（土曜）,289,.innerHTML
60,service_time_sun,TEXT,,,,,サービス利用時間（日曜）,290,.innerHTML
61,service_time_hol,TEXT,,,,,サービス利用時間（祝日）,297,.innerHTML
62,service_time_memo,TEXT,,,,,サービス利用時間（留意事項）,292,.innerHTML
63,service_area,TEXT,,,,,事業所が通常時に介護サービスを提供する地域,293,.innerHTML
64,sub_tokuteijigyosyo_1,NVARCHAR,8,,,,特定事業所加算(Ⅰ)　（予防を除く）　※体制要件、人材要件及び重度対応要件に適合,294,".attr(""alt"")"
65,sub_tokuteijigyosyo_2,NVARCHAR,8,,,,特定事業所加算(Ⅱ)　（予防を除く）　※体制要件及び人材要件に適合,295,".attr(""alt"")"
