table_name,,title,,,,,,,
home_bath,,訪問入浴,,,,,,,
,,,,,,,,,
No,項目名,型,長さ,少数,必須,PK,備考,diffid,
1,office_id,INT,11,,Y,1,,,
2,name,TEXT,,,,,事業所名称,175,.innerHTML
3,company_type,NVARCHAR,20,,,,法人の種類,1,.innerHTML
4,company,TEXT,,,,,法人名称,4,.innerHTML
5,postcode,NVARCHAR,20,,,,郵便番号,176,.innerHTML
6,municipality,TEXT,,,,,市区町村コード,177,.innerHTML
7,address_1,TEXT,,,,,住所１,178,.innerHTML
8,address_2,TEXT,,,,,住所２,179,.innerHTML
9,tel,TEXT,,,,,電話番号,180,.innerHTML
10,fax,TEXT,,,,,FAX番号,181,.innerHTML
11,hp_address,TEXT,,,,,ホームページ,183,".attr(""href"")"
12,office_no,TEXT,,,,,介護保険事業所番号,184,.innerHTML
13,manager_name,NVARCHAR,20,,,,事業所の管理者の氏名,185,.innerHTML
14,founding_day,TEXT,,,,,事業の開始（予定）年月日,188,.innerHTML
15,traffic,TEXT,,,,,事業所までの主な利用交通手段,194,.innerHTML
16,nurse_00,TEXT,,,,,看護師（常勤・専従）,195,.innerHTML
17,nurse_01,TEXT,,,,,看護師（常勤・非専従）,196,.innerHTML
18,nurse_10,TEXT,,,,,看護師（非常勤・専従）,197,.innerHTML
19,nurse_11,TEXT,,,,,看護師（非常勤・非専従）,198,.innerHTML
20,semi_nurse_00,TEXT,,,,,准看護師（常勤・専従）,200,.innerHTML
21,semi_nurse_01,TEXT,,,,,准看護師（常勤・非専従）,201,.innerHTML
22,semi_nurse_10,TEXT,,,,,准看護師（非常勤・専従）,202,.innerHTML
23,semi_nurse_11,TEXT,,,,,准看護師（非常勤・非専従）,203,.innerHTML
24,carer_00,TEXT,,,,,介護職員（常勤・専従）,205,.innerHTML
25,carer_01,TEXT,,,,,介護職員（常勤・非専従）,206,.innerHTML
26,carer_10,TEXT,,,,,介護職員（非常勤・専従）,207,.innerHTML
27,carer_11,TEXT,,,,,介護職員（非常勤・非専従）,208,.innerHTML
28,clerk_00,TEXT,,,,,事務員（常勤・専従）,210,.innerHTML
29,clerk_01,TEXT,,,,,事務員（常勤・非専従）,211,.innerHTML
30,clerk_10,TEXT,,,,,事務員（非常勤・専従）,212,.innerHTML
31,clerk_11,TEXT,,,,,事務員（非常勤・非専従）,213,.innerHTML
32,otherwork_00,TEXT,,,,,その他の従業者（常勤・専従）,215,.innerHTML
33,otherwork_01,TEXT,,,,,その他の従業者（常勤・非専従）,216,.innerHTML
34,otherwork_10,TEXT,,,,,その他の従業者（非常勤・専従）,217,.innerHTML
35,otherwork_11,TEXT,,,,,その他の従業者（非常勤・非専従）,218,.innerHTML
36,l_care_worker_00,TEXT,,,,,介護福祉士（常勤・専従）,221,.innerHTML
37,l_care_worker_01,TEXT,,,,,介護福祉士（常勤・非専従）,222,.innerHTML
38,l_care_worker_10,TEXT,,,,,介護福祉士（非常勤・専従）,223,.innerHTML
39,l_care_worker_11,TEXT,,,,,介護福祉士（非常勤・非専従）,224,.innerHTML
40,l_practical_training_00,TEXT,,,,,実務者研修（常勤・専従）,225,.innerHTML
41,l_practical_training_01,TEXT,,,,,実務者研修（常勤・非専従）,226,.innerHTML
42,l_practical_training_10,TEXT,,,,,実務者研修（非常勤・専従）,227,.innerHTML
43,l_practical_training_11,TEXT,,,,,実務者研修（非常勤・非専従）,228,.innerHTML
44,l_care_basis_00,TEXT,,,,,介護職員基礎研修（常勤・専従）,229,.innerHTML
45,l_care_basis_01,TEXT,,,,,介護職員基礎研修（常勤・非専従）,230,.innerHTML
46,l_care_basis_10,TEXT,,,,,介護職員基礎研修（非常勤・専従）,231,.innerHTML
47,l_care_basis_11,TEXT,,,,,介護職員基礎研修（非常勤・非専従）,232,.innerHTML
48,l_home_helper1_00,TEXT,,,,,訪問介護員　１級（常勤・専従）,233,.innerHTML
49,l_home_helper1_01,TEXT,,,,,訪問介護員　１級（常勤・非専従）,234,.innerHTML
50,l_home_helper1_10,TEXT,,,,,訪問介護員　１級（非常勤・専従）,235,.innerHTML
51,l_home_helper1_11,TEXT,,,,,訪問介護員　１級（非常勤・非専従）,236,.innerHTML
52,l_home_helper2_00,TEXT,,,,,訪問介護員　２級（常勤・専従）,237,.innerHTML
53,l_home_helper2_01,TEXT,,,,,訪問介護員　２級（常勤・非専従）,238,.innerHTML
54,l_home_helper2_10,TEXT,,,,,訪問介護員　２級（非常勤・専従）,239,.innerHTML
55,l_home_helper2_11,TEXT,,,,,訪問介護員　２級（非常勤・非専従）,240,.innerHTML
56,l_caremanager_0,TEXT,,,,,介護支援専門員（常勤・専従）,241,.innerHTML
57,l_caremanager_1,TEXT,,,,,介護支援専門員（常勤・非専従）,242,.innerHTML
58,l_caremanager_10,TEXT,,,,,介護支援専門員（非常勤・専従）,243,.innerHTML
59,l_caremanager_11,TEXT,,,,,介護支援専門員（非常勤・非専従）,244,.innerHTML
60,office_time_week,TEXT,,,,,営業時間（平日）,279,.innerHTML
61,office_time_sat,TEXT,,,,,営業時間（土曜）,280,.innerHTML
62,office_time_sun,TEXT,,,,,営業時間（日曜）,281,.innerHTML
63,office_time_hol,TEXT,,,,,営業時間（祝日）,282,.innerHTML
64,office_time_reghol,TEXT,,,,,営業時間（定休日）,283,.innerHTML
65,office_time_memo,TEXT,,,,,営業時間（留意事項）,284,.innerHTML
66,service_time_week,TEXT,,,,,サービス利用時間（平日）,285,.innerHTML
67,service_time_sat,TEXT,,,,,サービス利用時間（土曜）,286,.innerHTML
68,service_time_sun,TEXT,,,,,サービス利用時間（日曜）,287,.innerHTML
69,service_time_hol,TEXT,,,,,サービス利用時間（祝日）,288,.innerHTML
70,service_time_memo,TEXT,,,,,サービス利用時間（留意事項）,289,.innerHTML
71,service_area,TEXT,,,,,事業所が通常時に介護サービスを提供する地域,290,.innerHTML
72,service_supply,TEXT,,,,,サービス提供体制強化加算,293,".attr(""alt"")"
73,care_staff_improved_1,TEXT,,,,,介護職員処遇改善加算（Ⅰ）,294,".attr(""alt"")"
