table_name,,title,,,,,,,
home_nurse,,訪問看護,,,,,,,
,,,,,,,,,
No,項目名,型,長さ,少数,必須,PK,備考,diffid,
1,office_id,INT,11,,Y,1,,,
2,name,TEXT,,,,,事業所名称,175,.innerHTML
3,company_type,NVARCHAR,20,,,,法人の種類,1,.innerHTML
4,company,TEXT,,,,,法人名称,4,.innerHTML
5,postcode,NVARCHAR,20,,,,郵便番号,176,.innerHTML
6,municipality,TEXT,,,,,市区町村コード,177,.innerHTML
7,address_1,TEXT,,,,,住所１,178,.innerHTML
8,address_2,TEXT,,,,,住所２,179,.innerHTML
9,tel,TEXT,,,,,電話番号,180,.innerHTML
10,fax,TEXT,,,,,FAX番号,181,.innerHTML
11,hp_address,TEXT,,,,,ホームページ,183,".attr(""href"")"
12,office_no,TEXT,,,,,介護保険事業所番号,184,.innerHTML
13,manager_name,NVARCHAR,20,,,,事業所の管理者の氏名,185,.innerHTML
14,founding_day,TEXT,,,,,事業の開始（予定）年月日,188,.innerHTML
15,traffic,TEXT,,,,,事業所までの主な利用交通手段,194,.innerHTML
16,shitei_home_nurse_office,TEXT,,,,,指定訪問看護ステーションの有無,195,".attr(""alt"")"
17,health_nurse_1_00,TEXT,,,,,保健師（常勤・専従）,196,.innerHTML
18,health_nurse_1_01,TEXT,,,,,保健師（常勤・非専従）,197,.innerHTML
19,health_nurse_1_10,TEXT,,,,,保健師（非常勤・専従）,198,.innerHTML
20,health_nurse_1_11,TEXT,,,,,保健師（非常勤・非専従）,199,.innerHTML
21,nurse_1_00,TEXT,,,,,看護師（常勤・専従）,201,.innerHTML
22,nurse_1_01,TEXT,,,,,看護師（常勤・非専従）,202,.innerHTML
23,nurse_1_10,TEXT,,,,,看護師（非常勤・専従）,203,.innerHTML
24,nurse_1_11,TEXT,,,,,看護師（非常勤・非専従）,204,.innerHTML
25,semi_nurse_1_00,TEXT,,,,,准看護師（常勤・専従）,206,.innerHTML
26,semi_nurse_1_01,TEXT,,,,,准看護師（常勤・非専従）,207,.innerHTML
27,semi_nurse_1_10,TEXT,,,,,准看護師（非常勤・専従）,208,.innerHTML
28,semi_nurse_1_11,TEXT,,,,,准看護師（非常勤・非専従）,209,.innerHTML
29,midwife_1_00,TEXT,,,,,助産師（常勤・専従）,211,.innerHTML
30,midwife_1_01,TEXT,,,,,助産師（常勤・非専従）,212,.innerHTML
31,midwife_1_10,TEXT,,,,,助産師（非常勤・専従）,213,.innerHTML
32,midwife_1_11,TEXT,,,,,助産師（非常勤・非専従）,214,.innerHTML
33,physical_therapist_1_00,TEXT,,,,,理学療法士（常勤・専従）,216,.innerHTML
34,physical_therapist_1_01,TEXT,,,,,理学療法士（常勤・非専従）,217,.innerHTML
35,physical_therapist_1_10,TEXT,,,,,理学療法士（非常勤・専従）,218,.innerHTML
36,physical_therapist_1_11,TEXT,,,,,理学療法士（非常勤・非専従）,219,.innerHTML
37,occupational_therapist_1_00,TEXT,,,,,作業療法士（常勤・専従）,221,.innerHTML
38,occupational_therapist_1_01,TEXT,,,,,作業療法士（常勤・非専従）,222,.innerHTML
39,occupational_therapist_1_10,TEXT,,,,,作業療法士（非常勤・専従）,223,.innerHTML
40,occupational_therapist_1_11,TEXT,,,,,作業療法士（非常勤・非専従）,224,.innerHTML
41,slh_therapist_1_00,TEXT,,,,,言語聴覚士（常勤・専従）,226,.innerHTML
42,slh_therapist_1_01,TEXT,,,,,言語聴覚士（常勤・非専従）,227,.innerHTML
43,slh_therapist_1_10,TEXT,,,,,言語聴覚士（非常勤・専従）,228,.innerHTML
44,slh_therapist_1_11,TEXT,,,,,言語聴覚士（非常勤・非専従）,229,.innerHTML
45,clerk_1_00,TEXT,,,,,事務員（常勤・専従）,231,.innerHTML
46,clerk_1_01,TEXT,,,,,事務員（常勤・非専従）,232,.innerHTML
47,clerk_1_10,TEXT,,,,,事務員（非常勤・専従）,233,.innerHTML
48,clerk_1_11,TEXT,,,,,事務員（非常勤・非専従）,234,.innerHTML
49,otherwork_1_00,TEXT,,,,,その他の従業者（常勤・専従）,236,.innerHTML
50,otherwork_1_01,TEXT,,,,,その他の従業者（常勤・非専従）,237,.innerHTML
51,otherwork_1_10,TEXT,,,,,その他の従業者（非常勤・専従）,238,.innerHTML
52,otherwork_1_11,TEXT,,,,,その他の従業者（非常勤・非専従）,239,.innerHTML
53,medical_home_nurse_office,TEXT,,,,,病院又は診療所である指定訪問看護事業所の有無,246,".attr(""alt"")"
54,health_nurse_2_00,TEXT,,,,,保健師（常勤・専従）,247,.innerHTML
55,health_nurse_2_01,TEXT,,,,,保健師（常勤・非専従）,248,.innerHTML
56,health_nurse_2_10,TEXT,,,,,保健師（非常勤・専従）,249,.innerHTML
57,health_nurse_2_11,TEXT,,,,,保健師（非常勤・非専従）,250,.innerHTML
58,nurse_2_00,TEXT,,,,,看護師（常勤・専従）,252,.innerHTML
59,nurse_2_01,TEXT,,,,,看護師（常勤・非専従）,253,.innerHTML
60,nurse_2_10,TEXT,,,,,看護師（非常勤・専従）,254,.innerHTML
61,nurse_2_11,TEXT,,,,,看護師（非常勤・非専従）,255,.innerHTML
62,semi_nurse_2_00,TEXT,,,,,准看護師（常勤・専従）,257,.innerHTML
63,semi_nurse_2_01,TEXT,,,,,准看護師（常勤・非専従）,258,.innerHTML
64,semi_nurse_2_10,TEXT,,,,,准看護師（非常勤・専従）,259,.innerHTML
65,semi_nurse_2_11,TEXT,,,,,准看護師（非常勤・非専従）,260,.innerHTML
66,clerk_2_00,TEXT,,,,,事務員（常勤・専従）,262,.innerHTML
67,clerk_2_01,TEXT,,,,,事務員（常勤・非専従）,263,.innerHTML
68,clerk_2_10,TEXT,,,,,事務員（非常勤・専従）,264,.innerHTML
69,clerk_2_11,TEXT,,,,,事務員（非常勤・非専従）,265,.innerHTML
70,otherwork_2_00,TEXT,,,,,その他の従業者（常勤・専従）,267,.innerHTML
71,otherwork_2_01,TEXT,,,,,その他の従業者（常勤・非専従）,268,.innerHTML
72,otherwork_2_10,TEXT,,,,,その他の従業者（非常勤・専従）,269,.innerHTML
