table_name,,title,,,,,,,
home_rehabilitation,,訪問リハビリテーション,,,,,,,
,,,,,,,,,
No,項目名,型,長さ,少数,必須,PK,備考,diffid,
1,office_id,INT,11,,Y,1,,,
2,name,TEXT,,,,,事業所名称,175,.innerHTML
3,company_type,NVARCHAR,20,,,,法人の種類,1,.innerHTML
4,company,TEXT,,,,,法人名称,4,.innerHTML
5,postcode,NVARCHAR,20,,,,郵便番号,176,.innerHTML
6,municipality,TEXT,,,,,市区町村コード,177,.innerHTML
7,address_1,TEXT,,,,,住所１,178,.innerHTML
8,address_2,TEXT,,,,,住所２,179,.innerHTML
9,tel,TEXT,,,,,電話番号,180,.innerHTML
10,fax,TEXT,,,,,FAX番号,181,.innerHTML
11,hp_address,TEXT,,,,,ホームページ,183,".attr(""href"")"
12,office_no,TEXT,,,,,介護保険事業所番号,184,.innerHTML
13,manager_name,NVARCHAR,20,,,,事業所の管理者の氏名,185,.innerHTML
14,founding_day,TEXT,,,,,事業の開始（予定）年月日,188,.innerHTML
15,traffic,TEXT,,,,,事業所までの主な利用交通手段,196,.innerHTML
16,physical_therapist_1_00,TEXT,,,,,理学療法士（常勤・専従）,197,.innerHTML
17,physical_therapist_1_01,TEXT,,,,,理学療法士（常勤・非専従）,198,.innerHTML
18,physical_therapist_1_10,TEXT,,,,,理学療法士（非常勤・専従）,199,.innerHTML
19,physical_therapist_1_11,TEXT,,,,,理学療法士（非常勤・非専従）,200,.innerHTML
20,occupational_therapist_1_00,TEXT,,,,,作業療法士（常勤・専従）,202,.innerHTML
21,occupational_therapist_1_01,TEXT,,,,,作業療法士（常勤・非専従）,203,.innerHTML
22,occupational_therapist_1_10,TEXT,,,,,作業療法士（非常勤・専従）,204,.innerHTML
23,occupational_therapist_1_11,TEXT,,,,,作業療法士（非常勤・非専従）,205,.innerHTML
24,slh_therapist_1_00,TEXT,,,,,言語聴覚士（常勤・専従）,207,.innerHTML
25,slh_therapist_1_01,TEXT,,,,,言語聴覚士（常勤・非専従）,208,.innerHTML
26,slh_therapist_1_10,TEXT,,,,,言語聴覚士（非常勤・専従）,209,.innerHTML
27,slh_therapist_1_11,TEXT,,,,,言語聴覚士（非常勤・非専従）,210,.innerHTML
28,clerk_1_00,TEXT,,,,,事務員（常勤・専従）,212,.innerHTML
29,clerk_1_01,TEXT,,,,,事務員（常勤・非専従）,213,.innerHTML
30,clerk_1_10,TEXT,,,,,事務員（非常勤・専従）,214,.innerHTML
31,clerk_1_11,TEXT,,,,,事務員（非常勤・非専従）,215,.innerHTML
32,otherwork_1_00,TEXT,,,,,その他の従業者（常勤・専従）,217,.innerHTML
33,otherwork_1_01,TEXT,,,,,その他の従業者（常勤・非専従）,218,.innerHTML
34,otherwork_1_10,TEXT,,,,,その他の従業者（非常勤・専従）,219,.innerHTML
35,otherwork_1_11,TEXT,,,,,その他の従業者（非常勤・非専従）,220,.innerHTML
36,physical_therapist_2_00,TEXT,,,,,理学療法士（常勤・専従）,222,.innerHTML
37,physical_therapist_2_01,TEXT,,,,,理学療法士（常勤・非専従）,223,.innerHTML
38,physical_therapist_2_10,TEXT,,,,,理学療法士（非常勤・専従）,224,.innerHTML
39,physical_therapist_2_11,TEXT,,,,,理学療法士（非常勤・非専従）,225,.innerHTML
40,occupational_therapist_2_00,TEXT,,,,,作業療法士（常勤・専従）,227,.innerHTML
41,occupational_therapist_2_01,TEXT,,,,,作業療法士（常勤・非専従）,228,.innerHTML
42,occupational_therapist_2_10,TEXT,,,,,作業療法士（非常勤・専従）,229,.innerHTML
43,occupational_therapist_2_11,TEXT,,,,,作業療法士（非常勤・非専従）,230,.innerHTML
44,slh_therapist_2_00,TEXT,,,,,言語聴覚士（常勤・専従）,232,.innerHTML
45,slh_therapist_2_01,TEXT,,,,,言語聴覚士（常勤・非専従）,233,.innerHTML
46,slh_therapist_2_10,TEXT,,,,,言語聴覚士（非常勤・専従）,234,.innerHTML
47,slh_therapist_2_11,TEXT,,,,,言語聴覚士（非常勤・非専従）,235,.innerHTML
48,clerk_2_00,TEXT,,,,,事務員（常勤・専従）,237,.innerHTML
49,clerk_2_01,TEXT,,,,,事務員（常勤・非専従）,238,.innerHTML
50,clerk_2_10,TEXT,,,,,事務員（非常勤・専従）,239,.innerHTML
51,clerk_2_11,TEXT,,,,,事務員（非常勤・非専従）,240,.innerHTML
52,otherwork_2_00,TEXT,,,,,その他の従業者（常勤・専従）,242,.innerHTML
53,otherwork_2_01,TEXT,,,,,その他の従業者（常勤・非専従）,243,.innerHTML
54,otherwork_2_10,TEXT,,,,,その他の従業者（非常勤・専従）,244,.innerHTML
55,otherwork_2_11,TEXT,,,,,その他の従業者（非常勤・非専従）,245,.innerHTML
56,office_time_week,TEXT,,,,,営業時間（平日）,296,.innerHTML
57,office_time_sat,TEXT,,,,,営業時間（土曜）,297,.innerHTML
58,office_time_sun,TEXT,,,,,営業時間（日曜）,298,.innerHTML
59,office_time_hol,TEXT,,,,,営業時間（祝日）,299,.innerHTML
60,office_time_reghol,TEXT,,,,,営業時間（定休日）,300,.innerHTML
61,office_time_memo,TEXT,,,,,営業時間（留意事項）,301,.innerHTML
62,service_time_week,TEXT,,,,,サービス利用時間（平日）,303,.innerHTML
63,service_time_sat,TEXT,,,,,サービス利用時間（土曜）,304,.innerHTML
64,service_time_sun,TEXT,,,,,サービス利用時間（日曜）,305,.innerHTML
65,service_time_hol,TEXT,,,,,サービス利用時間（祝日）,306,.innerHTML
66,service_time_memo,TEXT,,,,,サービス利用時間（留意事項）,307,.innerHTML
67,service_area,TEXT,,,,,事業所が通常時に介護サービスを提供する地域,308,.innerHTML
68,short_intensive_rehabilitation,TEXT,,,,,短期集中リハビリテーションの実施,309,".attr(""alt"")"
69,home_care_office_renkei,TEXT,,,,,訪問介護事業所との連携（訪問介護計画作成に当たっての助言、指導等）,310,".attr(""alt"")"
70,service_supply,TEXT,,,,,サービス提供体制強化加算,311,".attr(""alt"")"
71,area_outside_price,TEXT,,,,,利用者の選定により、通常の事業の実施地域以外で当該介護サービスを行う場合、それに要する交通費の額及びその算定方法,358,.innerHTML
