table_name,,title,,,,,,,
short_life,,短期入所生活介護,,,,,,,
,,,,,,,,,
No,項目名,型,長さ,少数,必須,PK,備考,diffid,
1,office_id,INT,11,,Y,1,,,
2,name,TEXT,,,,,事業所名称,175,.innerHTML
3,company_type,NVARCHAR,20,,,,法人の種類,1,.innerHTML
4,company,TEXT,,,,,法人名称,4,.innerHTML
5,postcode,NVARCHAR,20,,,,郵便番号,176,.innerHTML
6,municipality,TEXT,,,,,市区町村コード,177,.innerHTML
7,address_1,TEXT,,,,,住所１,178,.innerHTML
8,address_2,TEXT,,,,,住所２,179,.innerHTML
9,tel,TEXT,,,,,電話番号,180,.innerHTML
10,fax,TEXT,,,,,FAX番号,181,.innerHTML
11,hp_address,TEXT,,,,,ホームページ,183,".attr(""href"")"
12,office_no,TEXT,,,,,介護保険事業所番号,184,.innerHTML
13,office_type,TEXT,,,,,事業所の形態,185,.innerHTML
14,manager_name,NVARCHAR,20,,,,事業所の管理者の氏名,186,.innerHTML
15,founding_day,TEXT,,,,,事業の開始（予定）年月日,188,.innerHTML
16,traffic,TEXT,,,,,事業所までの主な利用交通手段,195,.innerHTML
17,doctor_00,TEXT,,,,,医師（常勤・専従）,196,.innerHTML
18,doctor_01,TEXT,,,,,医師（常勤・非専従）,197,.innerHTML
19,doctor_10,TEXT,,,,,医師（非常勤・専従）,198,.innerHTML
20,doctor_11,TEXT,,,,,医師（非常勤・非専従）,199,.innerHTML
21,lifepranner_00,TEXT,,,,,生活相談員（常勤・専従）,201,.innerHTML
22,lifepranner_01,TEXT,,,,,生活相談員（常勤・非専従）,202,.innerHTML
23,lifepranner_10,TEXT,,,,,生活相談員（非常勤・専従）,203,.innerHTML
24,lifepranner_11,TEXT,,,,,生活相談員（非常勤・非専従）,204,.innerHTML
25,nursing_staff_00,TEXT,,,,,看護職員（常勤・専従）,206,.innerHTML
26,nursing_staff_01,TEXT,,,,,看護職員（常勤・非専従）,207,.innerHTML
27,nursing_staff_10,TEXT,,,,,看護職員（非常勤・専従）,208,.innerHTML
28,nursing_staff_11,TEXT,,,,,看護職員（非常勤・非専従）,209,.innerHTML
29,carer_00,TEXT,,,,,介護職員（常勤・専従）,211,.innerHTML
30,carer_01,TEXT,,,,,介護職員（常勤・非専従）,212,.innerHTML
31,carer_10,TEXT,,,,,介護職員（非常勤・専従）,213,.innerHTML
32,carer_11,TEXT,,,,,介護職員（非常勤・非専従）,214,.innerHTML
33,dietitian_00,TEXT,,,,,管理栄養士（常勤・専従）,216,.innerHTML
34,dietitian_01,TEXT,,,,,管理栄養士（常勤・非専従）,217,.innerHTML
35,dietitian_10,TEXT,,,,,管理栄養士（非常勤・専従）,218,.innerHTML
36,dietitian_11,TEXT,,,,,管理栄養士（非常勤・非専従）,219,.innerHTML
37,dietician_00,TEXT,,,,,栄養士（常勤・専従）,221,.innerHTML
38,dietician_01,TEXT,,,,,栄養士（常勤・非専従）,222,.innerHTML
39,dietician_10,TEXT,,,,,栄養士（非常勤・専従）,223,.innerHTML
40,dietician_11,TEXT,,,,,栄養士（非常勤・非専従）,224,.innerHTML
41,functional_advisor_00,TEXT,,,,,機能訓練指導員（常勤・専従）,226,.innerHTML
42,functional_advisor_01,TEXT,,,,,機能訓練指導員（常勤・非専従）,227,.innerHTML
43,functional_advisor_10,TEXT,,,,,機能訓練指導員（非常勤・専従）,228,.innerHTML
44,functional_advisor_11,TEXT,,,,,機能訓練指導員（非常勤・非専従）,229,.innerHTML
45,care_manager_00,TEXT,,,,,介護支援専門員（常勤・専従）,231,.innerHTML
46,care_manager_01,TEXT,,,,,介護支援専門員（常勤・非専従）,232,.innerHTML
47,care_manager_10,TEXT,,,,,介護支援専門員（非常勤・専従）,233,.innerHTML
48,care_manager_11,TEXT,,,,,介護支援専門員（非常勤・非専従）,234,.innerHTML
49,cook_00,TEXT,,,,,調理員（常勤・専従）,236,.innerHTML
50,cook_01,TEXT,,,,,調理員（常勤・非専従）,237,.innerHTML
51,cook_10,TEXT,,,,,調理員（非常勤・専従）,238,.innerHTML
52,cook_11,TEXT,,,,,調理員（非常勤・非専従）,239,.innerHTML
53,clerk_00,TEXT,,,,,事務員（常勤・専従）,241,.innerHTML
54,clerk_01,TEXT,,,,,事務員（常勤・非専従）,242,.innerHTML
55,clerk_10,TEXT,,,,,事務員（非常勤・専従）,243,.innerHTML
56,clerk_11,TEXT,,,,,事務員（非常勤・非専従）,244,.innerHTML
57,otherwork_00,TEXT,,,,,その他の従業者（常勤・専従）,246,.innerHTML
58,otherwork_01,TEXT,,,,,その他の従業者（常勤・非専従）,247,.innerHTML
59,otherwork_10,TEXT,,,,,その他の従業者（非常勤・専従）,248,.innerHTML
60,otherwork_11,TEXT,,,,,その他の従業者（非常勤・非専従）,249,.innerHTML
61,l_care_worker_00,TEXT,,,,,介護福祉士（常勤・専従）,252,.innerHTML
62,l_care_worker_01,TEXT,,,,,介護福祉士（常勤・非専従）,253,.innerHTML
63,l_care_worker_10,TEXT,,,,,介護福祉士（非常勤・専従）,254,.innerHTML
64,l_care_worker_11,TEXT,,,,,介護福祉士（非常勤・非専従）,255,.innerHTML
65,l_practical_training_00,TEXT,,,,,実務者研修（常勤・専従）,256,.innerHTML
66,l_practical_training_01,TEXT,,,,,実務者研修（常勤・非専従）,257,.innerHTML
67,l_practical_training_10,TEXT,,,,,実務者研修（非常勤・専従）,258,.innerHTML
68,l_practical_training_11,TEXT,,,,,実務者研修（非常勤・非専従）,259,.innerHTML
69,l_care_basis_00,TEXT,,,,,介護職員基礎研修（常勤・専従）,260,.innerHTML
70,l_care_basis_01,TEXT,,,,,介護職員基礎研修（常勤・非専従）,261,.innerHTML
71,l_care_basis_10,TEXT,,,,,介護職員基礎研修（非常勤・専従）,262,.innerHTML
72,l_care_basis_11,TEXT,,,,,介護職員基礎研修（非常勤・非専従）,263,.innerHTML
73,l_home_helper1_00,TEXT,,,,,訪問介護員　１級（常勤・専従）,264,.innerHTML
74,l_home_helper1_01,TEXT,,,,,訪問介護員　１級（常勤・非専従）,265,.innerHTML
