table_name,,title,,,,,,,
short_nursing_health,,短期入所療養介護　介護老人保健施設,,,,,,,
,,,,,,,,,
No,項目名,型,長さ,少数,必須,PK,備考,diffid,
1,office_id,INT,11,,Y,1,,,
2,name,TEXT,,,,,事業所名称,175,.innerHTML
3,company_type,NVARCHAR,20,,,,法人の種類,1,.innerHTML
4,company,TEXT,,,,,法人名称,4,.innerHTML
5,postcode,NVARCHAR,20,,,,郵便番号,176,.innerHTML
6,municipality,TEXT,,,,,市区町村コード,177,.innerHTML
7,address_1,TEXT,,,,,住所１,178,.innerHTML
8,address_2,TEXT,,,,,住所２,179,.innerHTML
9,tel,TEXT,,,,,電話番号,180,.innerHTML
10,fax,TEXT,,,,,FAX番号,181,.innerHTML
11,hp_address,TEXT,,,,,ホームページ,183,".attr(""href"")"
12,office_no,TEXT,,,,,介護保険事業所番号,184,.innerHTML
13,manager_name,NVARCHAR,20,,,,事業所の管理者の氏名,185,.innerHTML
14,founding_day,TEXT,,,,,事業の開始（予定）年月日,188,.innerHTML
15,traffic,TEXT,,,,,事業所までの主な利用交通手段,193,.innerHTML
16,office_kubun,,,,,,区分,194,.innerHTML
17,doctor_00,TEXT,,,,,医師（常勤・専従）,195,.innerHTML
18,doctor_01,TEXT,,,,,医師（常勤・非専従）,196,.innerHTML
19,doctor_10,TEXT,,,,,医師（非常勤・専従）,197,.innerHTML
20,doctor_11,TEXT,,,,,医師（非常勤・非専従）,198,.innerHTML
21,pharmacist_00,,,,,,薬剤師（常勤・専従）,200,.innerHTML
22,pharmacist_01,,,,,,薬剤師（常勤・非専従）,201,.innerHTML
23,pharmacist_10,,,,,,薬剤師（非常勤・専従）,202,.innerHTML
24,pharmacist_11,,,,,,薬剤師（非常勤・非専従）,203,.innerHTML
25,nursing_staff_00,TEXT,,,,,看護職員（常勤・専従）,205,.innerHTML
26,nursing_staff_01,TEXT,,,,,看護職員（常勤・非専従）,206,.innerHTML
27,nursing_staff_10,TEXT,,,,,看護職員（非常勤・専従）,207,.innerHTML
28,nursing_staff_11,TEXT,,,,,看護職員（非常勤・非専従）,208,.innerHTML
29,carer_00,TEXT,,,,,介護職員（常勤・専従）,210,.innerHTML
30,carer_01,TEXT,,,,,介護職員（常勤・非専従）,211,.innerHTML
31,carer_10,TEXT,,,,,介護職員（非常勤・専従）,212,.innerHTML
32,carer_11,TEXT,,,,,介護職員（非常勤・非専従）,213,.innerHTML
33,support_consultant_00,,,,,,支援相談員（常勤・専従）,215,.innerHTML
34,support_consultant_01,,,,,,支援相談員（常勤・非専従）,216,.innerHTML
35,support_consultant_10,,,,,,支援相談員（非常勤・専従）,217,.innerHTML
36,support_consultant_11,,,,,,支援相談員（非常勤・非専従）,218,.innerHTML
37,physical_therapist_00,,,,,,理学療法士（常勤・専従）,220,.innerHTML
38,physical_therapist_01,,,,,,理学療法士（常勤・非専従）,221,.innerHTML
39,physical_therapist_10,,,,,,理学療法士（非常勤・専従）,222,.innerHTML
40,physical_therapist_11,,,,,,理学療法士（非常勤・非専従）,223,.innerHTML
41,occupational_therapist_00,,,,,,作業療法士（常勤・専従）,225,.innerHTML
42,occupational_therapist_01,,,,,,作業療法士（常勤・非専従）,226,.innerHTML
43,occupational_therapist_10,,,,,,作業療法士（非常勤・専従）,227,.innerHTML
44,occupational_therapist_11,,,,,,作業療法士（非常勤・非専従）,228,.innerHTML
45,slh_therapist_00,,,,,,言語聴覚士（常勤・専従）,230,.innerHTML
46,slh_therapist_01,,,,,,言語聴覚士（常勤・非専従）,231,.innerHTML
47,slh_therapist_10,,,,,,言語聴覚士（非常勤・専従）,232,.innerHTML
48,slh_therapist_11,,,,,,言語聴覚士（非常勤・非専従）,233,.innerHTML
49,dietitian_00,TEXT,,,,,管理栄養士（常勤・専従）,235,.innerHTML
50,dietitian_01,TEXT,,,,,管理栄養士（常勤・非専従）,236,.innerHTML
51,dietitian_10,TEXT,,,,,管理栄養士（非常勤・専従）,237,.innerHTML
52,dietitian_11,TEXT,,,,,管理栄養士（非常勤・非専従）,238,.innerHTML
53,dietician_00,TEXT,,,,,栄養士（常勤・専従）,240,.innerHTML
54,dietician_01,TEXT,,,,,栄養士（常勤・非専従）,241,.innerHTML
55,dietician_10,TEXT,,,,,栄養士（非常勤・専従）,242,.innerHTML
56,dietician_11,TEXT,,,,,栄養士（非常勤・非専従）,243,.innerHTML
57,care_manager_00,TEXT,,,,,介護支援専門員（常勤・専従）,245,.innerHTML
58,care_manager_01,TEXT,,,,,介護支援専門員（常勤・非専従）,246,.innerHTML
59,care_manager_10,TEXT,,,,,介護支援専門員（非常勤・専従）,247,.innerHTML
60,care_manager_11,TEXT,,,,,介護支援専門員（非常勤・非専従）,248,.innerHTML
61,cook_00,TEXT,,,,,調理員（常勤・専従）,250,.innerHTML
62,cook_01,TEXT,,,,,調理員（常勤・非専従）,251,.innerHTML
63,cook_10,TEXT,,,,,調理員（非常勤・専従）,252,.innerHTML
64,cook_11,TEXT,,,,,調理員（非常勤・非専従）,253,.innerHTML
65,clerk_00,TEXT,,,,,事務員（常勤・専従）,255,.innerHTML
66,clerk_01,TEXT,,,,,事務員（常勤・非専従）,256,.innerHTML
67,clerk_10,TEXT,,,,,事務員（非常勤・専従）,257,.innerHTML
68,clerk_11,TEXT,,,,,事務員（非常勤・非専従）,258,.innerHTML
69,otherwork_00,TEXT,,,,,その他の従業者（常勤・専従）,260,.innerHTML
70,otherwork_01,TEXT,,,,,その他の従業者（常勤・非専従）,261,.innerHTML
71,otherwork_10,TEXT,,,,,その他の従業者（非常勤・専従）,262,.innerHTML
72,otherwork_11,TEXT,,,,,その他の従業者（非常勤・非専従）,263,.innerHTML
73,l_care_worker_00,TEXT,,,,,介護福祉士（常勤・専従）,266,.innerHTML
74,l_care_worker_01,TEXT,,,,,介護福祉士（常勤・非専従）,267,.innerHTML
75,l_care_worker_10,TEXT,,,,,介護福祉士（非常勤・専従）,268,.innerHTML
76,l_care_worker_11,TEXT,,,,,介護福祉士（非常勤・非専従）,269,.innerHTML
77,l_practical_training_00,TEXT,,,,,実務者研修（常勤・専従）,270,.innerHTML
