table_name,,title,,,,,,,
short_nursing_medical,,短期入所療養介護　介護療養型医療施設,,,,,,,
,,,,,,,,,
No,項目名,型,長さ,少数,必須,PK,備考,diffid,
1,office_id,INT,11,,Y,1,,,
2,name,TEXT,,,,,事業所名称,175,.innerHTML
3,company_type,NVARCHAR,20,,,,法人の種類,1,.innerHTML
4,company,TEXT,,,,,法人名称,4,.innerHTML
5,postcode,NVARCHAR,20,,,,郵便番号,176,.innerHTML
6,municipality,TEXT,,,,,市区町村コード,177,.innerHTML
7,address_1,TEXT,,,,,住所１,178,.innerHTML
8,address_2,TEXT,,,,,住所２,179,.innerHTML
9,tel,TEXT,,,,,電話番号,180,.innerHTML
10,fax,TEXT,,,,,FAX番号,181,.innerHTML
11,hp_address,TEXT,,,,,ホームページ,183,".attr(""href"")"
12,office_no,TEXT,,,,,介護保険事業所番号,184,.innerHTML
13,manager_name,NVARCHAR,20,,,,事業所の管理者の氏名,185,.innerHTML
14,founding_day,TEXT,,,,,事業の開始（予定）年月日,188,.innerHTML
15,traffic,TEXT,,,,,事業所までの主な利用交通手段,193,.innerHTML
16,office_kubun,TEXT,,,,,区分,194,.innerHTML
17,doctor_1_00,TEXT,,,,,医師（常勤・専従）,254,.innerHTML
18,doctor_1_01,TEXT,,,,,医師（常勤・非専従）,255,.innerHTML
19,doctor_1_10,TEXT,,,,,医師（非常勤・専従）,256,.innerHTML
20,doctor_1_11,TEXT,,,,,医師（非常勤・非専従）,257,.innerHTML
21,dentist_1_00,TEXT,,,,,歯科医師（常勤・専従）,259,.innerHTML
22,dentist_1_01,TEXT,,,,,歯科医師（常勤・非専従）,260,.innerHTML
23,dentist_1_10,TEXT,,,,,歯科医師（非常勤・専従）,261,.innerHTML
24,dentist_1_11,TEXT,,,,,歯科医師（非常勤・非専従）,262,.innerHTML
25,pharmacist_1_00,TEXT,,,,,薬剤師（常勤・専従）,264,.innerHTML
26,pharmacist_1_01,TEXT,,,,,薬剤師（常勤・非専従）,265,.innerHTML
27,pharmacist_1_10,TEXT,,,,,薬剤師（非常勤・専従）,266,.innerHTML
28,pharmacist_1_11,TEXT,,,,,薬剤師（非常勤・非専従）,267,.innerHTML
29,nursing_staff_1_00,TEXT,,,,,看護職員（常勤・専従）,269,.innerHTML
30,nursing_staff_1_01,TEXT,,,,,看護職員（常勤・非専従）,270,.innerHTML
31,nursing_staff_1_10,TEXT,,,,,看護職員（非常勤・専従）,271,.innerHTML
32,nursing_staff_1_11,TEXT,,,,,看護職員（非常勤・非専従）,272,.innerHTML
33,carer_1_00,TEXT,,,,,介護職員（常勤・専従）,274,.innerHTML
34,carer_1_01,TEXT,,,,,介護職員（常勤・非専従）,275,.innerHTML
35,carer_1_10,TEXT,,,,,介護職員（非常勤・専従）,276,.innerHTML
36,carer_1_11,TEXT,,,,,介護職員（非常勤・非専従）,277,.innerHTML
37,physical_therapist_1_00,TEXT,,,,,理学療法士（常勤・専従）,279,.innerHTML
38,physical_therapist_1_01,TEXT,,,,,理学療法士（常勤・非専従）,280,.innerHTML
39,physical_therapist_1_10,TEXT,,,,,理学療法士（非常勤・専従）,281,.innerHTML
40,physical_therapist_1_11,TEXT,,,,,理学療法士（非常勤・非専従）,282,.innerHTML
41,occupational_therapist_1_00,TEXT,,,,,作業療法士（常勤・専従）,284,.innerHTML
42,occupational_therapist_1_01,TEXT,,,,,作業療法士（常勤・非専従）,285,.innerHTML
43,occupational_therapist_1_10,TEXT,,,,,作業療法士（非常勤・専従）,286,.innerHTML
44,occupational_therapist_1_11,TEXT,,,,,作業療法士（非常勤・非専従）,287,.innerHTML
45,slh_therapist_1_00,TEXT,,,,,言語聴覚士（常勤・専従）,289,.innerHTML
46,slh_therapist_1_01,TEXT,,,,,言語聴覚士（常勤・非専従）,290,.innerHTML
47,slh_therapist_1_10,TEXT,,,,,言語聴覚士（非常勤・専従）,291,.innerHTML
48,slh_therapist_1_11,TEXT,,,,,言語聴覚士（非常勤・非専従）,292,.innerHTML
49,dietitian_1_00,TEXT,,,,,管理栄養士（常勤・専従）,294,.innerHTML
50,dietitian_1_01,TEXT,,,,,管理栄養士（常勤・非専従）,295,.innerHTML
51,dietitian_1_10,TEXT,,,,,管理栄養士（非常勤・専従）,296,.innerHTML
52,dietitian_1_11,TEXT,,,,,管理栄養士（非常勤・非専従）,297,.innerHTML
53,dietician_1_00,TEXT,,,,,栄養士（常勤・専従）,299,.innerHTML
54,dietician_1_01,TEXT,,,,,栄養士（常勤・非専従）,300,.innerHTML
55,dietician_1_10,TEXT,,,,,栄養士（非常勤・専従）,301,.innerHTML
56,dietician_1_11,TEXT,,,,,栄養士（非常勤・非専従）,302,.innerHTML
57,clinical_technologist_1_00,TEXT,,,,,臨床検査技師（常勤・専従）,304,.innerHTML
58,clinical_technologist_1_01,TEXT,,,,,臨床検査技師（常勤・非専従）,305,.innerHTML
59,clinical_technologist_1_10,TEXT,,,,,臨床検査技師（非常勤・専従）,306,.innerHTML
60,clinical_technologist_1_11,TEXT,,,,,臨床検査技師（非常勤・非専従）,307,.innerHTML
61,radiological_technologist_1_00,TEXT,,,,,診療放射線技師（常勤・専従）,309,.innerHTML
62,radiological_technologist_1_01,TEXT,,,,,診療放射線技師（常勤・非専従）,310,.innerHTML
63,radiological_technologist_1_10,TEXT,,,,,診療放射線技師（非常勤・専従）,311,.innerHTML
64,radiological_technologist_1_11,TEXT,,,,,診療放射線技師（非常勤・非専従）,312,.innerHTML
65,care_manager_1_00,TEXT,,,,,介護支援専門員（常勤・専従）,314,.innerHTML
66,care_manager_1_01,TEXT,,,,,介護支援専門員（常勤・非専従）,315,.innerHTML
67,care_manager_1_10,TEXT,,,,,介護支援専門員（非常勤・専従）,316,.innerHTML
68,care_manager_1_11,TEXT,,,,,介護支援専門員（非常勤・非専従）,317,.innerHTML
69,medical_social_worker_1_00,TEXT,,,,,医療ソーシャルワーカー（常勤・専従）,319,.innerHTML
70,medical_social_worker_1_01,TEXT,,,,,医療ソーシャルワーカー（常勤・非専従）,320,.innerHTML
