table_name,,title,,,,,,,
dementia_communal_lifecare,,認知症対応型共同生活介護,,,,,,,
,,,,,,,,,
No,項目名,型,長さ,少数,必須,PK,備考,diffid,
1,office_id,INT,11,,Y,1,,,
2,name,TEXT,,,,,事業所名称,175,.innerHTML
3,company_type,TEXT,,,,,法人の種類,1,.innerHTML
4,company,TEXT,,,,,法人名称,4,.innerHTML
5,postcode,TEXT,,,,,郵便番号,176,.innerHTML
6,municipality,TEXT,,,,,市区町村コード,177,.innerHTML
7,address_1,TEXT,,,,,住所１,178,.innerHTML
8,address_2,TEXT,,,,,住所２,179,.innerHTML
9,tel,TEXT,,,,,電話番号,180,.innerHTML
10,fax,TEXT,,,,,FAX番号,181,.innerHTML
11,hp_address,TEXT,,,,,ホームページ,183,".attr(""href"")"
12,office_no,TEXT,,,,,介護保険事業所番号,184,.innerHTML
13,manager_name,TEXT,,,,,事業所の管理者の氏名,185,.innerHTML
14,founding_day,TEXT,,,,,事業の開始（予定）年月日,187,.innerHTML
15,traffic,TEXT,,,,,事業所までの主な利用交通手段,194,.innerHTML
16,manager_00,TEXT,,,,,管理者（常勤・専従）,195,.innerHTML
17,manager_01,TEXT,,,,,管理者（常勤・非専従）,196,.innerHTML
18,scheduling_00,TEXT,,,,,計画作成担当者（常勤・専従）,198,.innerHTML
19,scheduling_01,TEXT,,,,,計画作成担当者（常勤・非専従）,199,.innerHTML
20,scheduling_10,TEXT,,,,,計画作成担当者（非常勤・専従）,200,.innerHTML
21,scheduling_11,TEXT,,,,,計画作成担当者（非常勤・非専従）,201,.innerHTML
22,carer_00,TEXT,,,,,介護職員（常勤・専従）,203,.innerHTML
23,carer_01,TEXT,,,,,介護職員（常勤・非専従）,204,.innerHTML
24,carer_10,TEXT,,,,,介護職員（非常勤・専従）,205,.innerHTML
25,carer_11,TEXT,,,,,介護職員（非常勤・非専従）,206,.innerHTML
26,nursing_staff_00,TEXT,,,,,看護職員（常勤・専従）,208,.innerHTML
27,nursing_staff_01,TEXT,,,,,看護職員（常勤・非専従）,209,.innerHTML
28,nursing_staff_10,TEXT,,,,,看護職員（非常勤・専従）,210,.innerHTML
29,nursing_staff_11,TEXT,,,,,看護職員（非常勤・非専従）,211,.innerHTML
30,otherwork_00,TEXT,,,,,その他の従業者（常勤・専従）,213,.innerHTML
31,otherwork_01,TEXT,,,,,その他の従業者（常勤・非専従）,214,.innerHTML
32,otherwork_10,TEXT,,,,,その他の従業者（非常勤・専従）,215,.innerHTML
33,otherwork_11,TEXT,,,,,その他の従業者（非常勤・非専従）,216,.innerHTML
34,l_care_manager_00,TEXT,,,,,介護支援専門員（常勤・専従）,219,.innerHTML
35,l_care_manager_01,TEXT,,,,,介護支援専門員（常勤・非専従）,220,.innerHTML
36,l_care_manager_10,TEXT,,,,,介護支援専門員（非常勤・専従）,221,.innerHTML
37,l_care_manager_11,TEXT,,,,,介護支援専門員（非常勤・非専従）,222,.innerHTML
38,l_care_worker_00,TEXT,,,,,介護福祉士（常勤・専従）,223,.innerHTML
39,l_care_worker_01,TEXT,,,,,介護福祉士（常勤・非専従）,224,.innerHTML
40,l_care_worker_10,TEXT,,,,,介護福祉士（非常勤・専従）,225,.innerHTML
41,l_care_worker_11,TEXT,,,,,介護福祉士（非常勤・非専従）,226,.innerHTML
42,l_practical_training_00,TEXT,,,,,実務者研修（常勤・専従）,227,.innerHTML
43,l_practical_training_01,TEXT,,,,,実務者研修（常勤・非専従）,228,.innerHTML
44,l_practical_training_10,TEXT,,,,,実務者研修（非常勤・専従）,229,.innerHTML
45,l_practical_training_11,TEXT,,,,,実務者研修（非常勤・非専従）,230,.innerHTML
46,l_care_basis_00,TEXT,,,,,介護職員基礎研修（常勤・専従）,231,.innerHTML
47,l_care_basis_01,TEXT,,,,,介護職員基礎研修（常勤・非専従）,232,.innerHTML
48,l_care_basis_10,TEXT,,,,,介護職員基礎研修（非常勤・専従）,233,.innerHTML
49,l_care_basis_11,TEXT,,,,,介護職員基礎研修（非常勤・非専従）,234,.innerHTML
50,l_home_helper1_00,TEXT,,,,,訪問介護員　１級（常勤・専従）,235,.innerHTML
51,l_home_helper1_01,TEXT,,,,,訪問介護員　１級（常勤・非専従）,236,.innerHTML
52,l_home_helper1_10,TEXT,,,,,訪問介護員　１級（非常勤・専従）,237,.innerHTML
53,l_home_helper1_11,TEXT,,,,,訪問介護員　１級（非常勤・非専従）,238,.innerHTML
54,l_home_helper2_00,TEXT,,,,,訪問介護員　２級（常勤・専従）,239,.innerHTML
55,l_home_helper2_01,TEXT,,,,,訪問介護員　２級（常勤・非専従）,240,.innerHTML
56,l_home_helper2_10,TEXT,,,,,訪問介護員　２級（非常勤・専従）,241,.innerHTML
57,l_home_helper2_11,TEXT,,,,,訪問介護員　２級（非常勤・非専従）,242,.innerHTML
58,l_caremanager_00,TEXT,,,,,介護支援専門員（常勤・専従）,243,.innerHTML
59,l_caremanager_01,TEXT,,,,,介護支援専門員（常勤・非専従）,244,.innerHTML
60,l_caremanager_10,TEXT,,,,,介護支援専門員（非常勤・専従）,245,.innerHTML
61,l_caremanager_11,TEXT,,,,,介護支援専門員（非常勤・非専従）,246,.innerHTML
62,night_duty,TEXT,,,,,夜勤を行う従業者の人数,247,.innerHTML
63,night_care_1,TEXT,,,,,夜間ケア加算（Ⅰ）,284,".attr(""alt"")"
64,night_care_2,TEXT,,,,,夜間ケア加算（Ⅱ）,285,".attr(""alt"")"
65,dementia_immediate_action,TEXT,,,,,認知症行動・心理症状緊急対応加算,286,".attr(""alt"")"
66,juvenile_dementia_user,TEXT,,,,,若年性認知症利用者受入加算,287,".attr(""alt"")"
67,sub_caregiving,TEXT,,,,,看取り介護の実施（予防を除く）,288,".attr(""alt"")"
68,sub_medical_link,TEXT,,,,,医療連携体制加算（予防を除く）,289,".attr(""alt"")"
69,moveout_consult,TEXT,,,,,退居時相談援助加算,290,".attr(""alt"")"
70,dementia_specialty_care_1,TEXT,,,,,認知症専門ケア加算（Ⅰ）,291,".attr(""alt"")"
71,dementia_specialty_care_2,TEXT,,,,,認知症専門ケア加算（Ⅱ）,292,".attr(""alt"")"
