table_name,,title,,,,,,,
specified_lifecare_charge_external,,特定施設入居者生活介護 有料老人ホーム 外部サービス利用型,,,,,,,
,,,,,,,,,
No,項目名,型,長さ,少数,必須,PK,備考,diffid,
1,office_id,INT,11,,Y,1,,,
2,name,TEXT,,,,,事業所名称,175,.innerHTML
3,company_type,TEXT,,,,,法人の種類,1,.innerHTML
4,company,TEXT,,,,,法人名称,4,.innerHTML
5,postcode,TEXT,,,,,郵便番号,176,.innerHTML
6,municipality,TEXT,,,,,市区町村コード,177,.innerHTML
7,address_1,TEXT,,,,,住所１,178,.innerHTML
8,address_2,TEXT,,,,,住所２,179,.innerHTML
9,tel,TEXT,,,,,電話番号,180,.innerHTML
10,fax,TEXT,,,,,FAX番号,181,.innerHTML
11,hp_address,TEXT,,,,,ホームページ,183,".attr(""href"")"
12,office_no,TEXT,,,,,介護保険事業所番号,184,.innerHTML
13,manager_name,TEXT,,,,,事業所の管理者の氏名,185,.innerHTML
14,founding_day,TEXT,,,,,事業の開始（予定）年月日,187,.innerHTML
15,traffic,TEXT,,,,,事業所までの主な利用交通手段,196,.innerHTML
16,facility_director_1_00,TEXT,,,,,施設長（常勤・専従）,197,.innerHTML
17,facility_director_1_01,TEXT,,,,,施設長（常勤・非専従）,198,.innerHTML
18,facility_director_1_10,TEXT,,,,,施設長（非常勤・専従）,199,.innerHTML
19,facility_director_1_11,TEXT,,,,,施設長（非常勤・非専従）,200,.innerHTML
20,lifepranner_1_00,TEXT,,,,,生活相談員（常勤・専従）,202,.innerHTML
21,lifepranner_1_01,TEXT,,,,,生活相談員（常勤・非専従）,203,.innerHTML
22,lifepranner_1_10,TEXT,,,,,生活相談員（非常勤・専従）,204,.innerHTML
23,lifepranner_1_11,TEXT,,,,,生活相談員（非常勤・非専従）,205,.innerHTML
24,nursing_staff_1_00,TEXT,,,,,看護職員（常勤・専従）,207,.innerHTML
25,nursing_staff_1_01,TEXT,,,,,看護職員（常勤・非専従）,208,.innerHTML
26,nursing_staff_1_10,TEXT,,,,,看護職員（非常勤・専従）,209,.innerHTML
27,nursing_staff_1_11,TEXT,,,,,看護職員（非常勤・非専従）,210,.innerHTML
28,carer_1_00,TEXT,,,,,介護職員（常勤・専従）,212,.innerHTML
29,carer_1_01,TEXT,,,,,介護職員（常勤・非専従）,213,.innerHTML
30,carer_1_10,TEXT,,,,,介護職員（非常勤・専従）,214,.innerHTML
31,carer_1_11,TEXT,,,,,介護職員（非常勤・非専従）,215,.innerHTML
32,functional_advisor_1_00,TEXT,,,,,機能訓練指導員（常勤・専従）,217,.innerHTML
33,functional_advisor_1_01,TEXT,,,,,機能訓練指導員（常勤・非専従）,218,.innerHTML
34,functional_advisor_1_10,TEXT,,,,,機能訓練指導員（非常勤・専従）,219,.innerHTML
35,functional_advisor_1_11,TEXT,,,,,機能訓練指導員（非常勤・非専従）,220,.innerHTML
36,scheduling_1_00,TEXT,,,,,計画作成担当者（常勤・専従）,222,.innerHTML
37,scheduling_1_01,TEXT,,,,,計画作成担当者（常勤・非専従）,223,.innerHTML
38,scheduling_1_10,TEXT,,,,,計画作成担当者（非常勤・専従）,224,.innerHTML
39,scheduling_1_11,TEXT,,,,,計画作成担当者（非常勤・非専従）,225,.innerHTML
40,dietician_1_00,TEXT,,,,,栄養士（常勤・専従）,227,.innerHTML
41,dietician_1_01,TEXT,,,,,栄養士（常勤・非専従）,228,.innerHTML
42,dietician_1_10,TEXT,,,,,栄養士（非常勤・専従）,229,.innerHTML
43,dietician_1_11,TEXT,,,,,栄養士（非常勤・非専従）,230,.innerHTML
44,cook_1_00,TEXT,,,,,調理員（常勤・専従）,232,.innerHTML
45,cook_1_01,TEXT,,,,,調理員（常勤・非専従）,233,.innerHTML
46,cook_1_10,TEXT,,,,,調理員（非常勤・専従）,234,.innerHTML
47,cook_1_11,TEXT,,,,,調理員（非常勤・非専従）,235,.innerHTML
48,clerk_1_00,TEXT,,,,,事務員（常勤・専従）,237,.innerHTML
49,clerk_1_01,TEXT,,,,,事務員（常勤・非専従）,238,.innerHTML
50,clerk_1_10,TEXT,,,,,事務員（非常勤・専従）,239,.innerHTML
51,clerk_1_11,TEXT,,,,,事務員（非常勤・非専従）,240,.innerHTML
52,otherwork_1_00,TEXT,,,,,その他の従業者（常勤・専従）,242,.innerHTML
53,otherwork_1_01,TEXT,,,,,その他の従業者（常勤・非専従）,243,.innerHTML
54,otherwork_1_10,TEXT,,,,,その他の従業者（非常勤・専従）,244,.innerHTML
55,otherwork_1_11,TEXT,,,,,その他の従業者（非常勤・非専従）,245,.innerHTML
56,l_care_worker_1_10,TEXT,,,,,介護福祉士（常勤・専従）,248,.innerHTML
57,l_care_worker_1_11,TEXT,,,,,介護福祉士（常勤・非専従）,249,.innerHTML
58,l_care_worker_1_10,TEXT,,,,,介護福祉士（非常勤・専従）,250,.innerHTML
59,l_care_worker_1_11,TEXT,,,,,介護福祉士（非常勤・非専従）,251,.innerHTML
60,l_practical_training_1_10,TEXT,,,,,実務者研修（常勤・専従）,252,.innerHTML
61,l_practical_training_1_11,TEXT,,,,,実務者研修（常勤・非専従）,253,.innerHTML
62,l_practical_training_1_10,TEXT,,,,,実務者研修（非常勤・専従）,254,.innerHTML
63,l_practical_training_1_11,TEXT,,,,,実務者研修（非常勤・非専従）,255,.innerHTML
64,l_care_basis_1_10,TEXT,,,,,介護職員基礎研修（常勤・専従）,256,.innerHTML
65,l_care_basis_1_11,TEXT,,,,,介護職員基礎研修（常勤・非専従）,257,.innerHTML
66,l_care_basis_1_10,TEXT,,,,,介護職員基礎研修（非常勤・専従）,258,.innerHTML
67,l_care_basis_1_11,TEXT,,,,,介護職員基礎研修（非常勤・非専従）,259,.innerHTML
68,l_home_helper1_1_10,TEXT,,,,,訪問介護員　１級（常勤・専従）,260,.innerHTML
69,l_home_helper1_1_11,TEXT,,,,,訪問介護員　１級（常勤・非専従）,261,.innerHTML
70,l_home_helper1_1_10,TEXT,,,,,訪問介護員　１級（非常勤・専従）,262,.innerHTML
71,l_home_helper1_1_11,TEXT,,,,,訪問介護員　１級（非常勤・非専従）,263,.innerHTML
