table_name,,title,,,,,,,
specified_welfare_tool_sale,,特定福祉用具販売,,,,,,,
,,,,,,,,,
No,項目名,型,長さ,少数,必須,PK,備考,diffid,
1,office_id,INT,11,,Y,1,,,
2,name,TEXT,,,,,事業所名称,175,.innerHTML
3,company_type,TEXT,,,,,法人の種類,1,.innerHTML
4,company,TEXT,,,,,法人名称,4,.innerHTML
5,postcode,TEXT,,,,,郵便番号,176,.innerHTML
6,municipality,TEXT,,,,,市区町村コード,177,.innerHTML
7,address_1,TEXT,,,,,住所１,178,.innerHTML
8,address_2,TEXT,,,,,住所２,179,.innerHTML
9,tel,TEXT,,,,,電話番号,180,.innerHTML
10,fax,TEXT,,,,,FAX番号,181,.innerHTML
11,hp_address,TEXT,,,,,ホームページ,183,".attr(""href"")"
12,office_no,TEXT,,,,,介護保険事業所番号,184,.innerHTML
13,manager_name,TEXT,,,,,事業所の管理者の氏名,185,.innerHTML
14,founding_day,TEXT,,,,,事業の開始（予定）年月日,187,.innerHTML
15,traffic,TEXT,,,,,事業所までの主な利用交通手段,193,.innerHTML
16,welfare_tool_consultant_00,TEXT,,,,,福祉用具専門相談員（常勤・専従）,194,.innerHTML
17,welfare_tool_consultant_01,TEXT,,,,,福祉用具専門相談員（常勤・非専従）,195,.innerHTML
18,welfare_tool_consultant_10,TEXT,,,,,福祉用具専門相談員（非常勤・専従）,196,.innerHTML
19,welfare_tool_consultant_11,TEXT,,,,,福祉用具専門相談員（非常勤・非専従）,197,.innerHTML
20,clerk_00,TEXT,,,,,事務員（常勤・専従）,199,.innerHTML
21,clerk_01,TEXT,,,,,事務員（常勤・非専従）,200,.innerHTML
22,clerk_10,TEXT,,,,,事務員（非常勤・専従）,201,.innerHTML
23,clerk_11,TEXT,,,,,事務員（非常勤・非専従）,202,.innerHTML
24,otherwork_00,TEXT,,,,,その他の従業者（常勤・専従）,204,.innerHTML
25,otherwork_01,TEXT,,,,,その他の従業者（常勤・非専従）,205,.innerHTML
26,otherwork_10,TEXT,,,,,その他の従業者（非常勤・専従）,206,.innerHTML
27,otherwork_11,TEXT,,,,,その他の従業者（非常勤・非専従）,207,.innerHTML
28,l_care_worker_00,TEXT,,,,,介護福祉士（常勤・専従）,210,.innerHTML
29,l_care_worker_01,TEXT,,,,,介護福祉士（常勤・非専従）,211,.innerHTML
30,l_care_worker_10,TEXT,,,,,介護福祉士（非常勤・専従）,212,.innerHTML
31,l_care_worker_11,TEXT,,,,,介護福祉士（非常勤・非専従）,213,.innerHTML
32,l_prosthetist_00,TEXT,,,,,義肢装具士（常勤・専従）,214,.innerHTML
33,l_prosthetist_01,TEXT,,,,,義肢装具士（常勤・非専従）,215,.innerHTML
34,l_prosthetist_10,TEXT,,,,,義肢装具士（非常勤・専従）,216,.innerHTML
35,l_prosthetist_11,TEXT,,,,,義肢装具士（非常勤・非専従）,217,.innerHTML
36,l_health_nurse_00,TEXT,,,,,保健師（常勤・専従）,218,.innerHTML
37,l_health_nurse_01,TEXT,,,,,保健師（常勤・非専従）,219,.innerHTML
38,l_health_nurse_10,TEXT,,,,,保健師（非常勤・専従）,220,.innerHTML
39,l_health_nurse_11,TEXT,,,,,保健師（非常勤・非専従）,221,.innerHTML
40,l_nurse_00,TEXT,,,,,看護師（常勤・専従）,222,.innerHTML
41,l_nurse_01,TEXT,,,,,看護師（常勤・非専従）,223,.innerHTML
42,l_nurse_10,TEXT,,,,,看護師（非常勤・専従）,224,.innerHTML
43,l_nurse_11,TEXT,,,,,看護師（非常勤・非専従）,225,.innerHTML
44,l_semi_nurse_00,TEXT,,,,,准看護師（常勤・専従）,226,.innerHTML
45,l_semi_nurse_01,TEXT,,,,,准看護師（常勤・非専従）,227,.innerHTML
46,l_semi_nurse_10,TEXT,,,,,准看護師（非常勤・専従）,228,.innerHTML
47,l_semi_nurse_11,TEXT,,,,,准看護師（非常勤・非専従）,229,.innerHTML
48,l_physical_therapist_00,TEXT,,,,,理学療法士（常勤・専従）,230,.innerHTML
49,l_physical_therapist_01,TEXT,,,,,理学療法士（常勤・非専従）,231,.innerHTML
50,l_physical_therapist_10,TEXT,,,,,理学療法士（非常勤・専従）,232,.innerHTML
51,l_physical_therapist_11,TEXT,,,,,理学療法士（非常勤・非専従）,233,.innerHTML
52,l_occupational_therapist_00,TEXT,,,,,作業療法士（常勤・専従）,234,.innerHTML
53,l_occupational_therapist_01,TEXT,,,,,作業療法士（常勤・非専従）,235,.innerHTML
54,l_occupational_therapist_10,TEXT,,,,,作業療法士（非常勤・専従）,236,.innerHTML
55,l_occupational_therapist_11,TEXT,,,,,作業療法士（非常勤・非専従）,237,.innerHTML
56,l_social_worker_00,TEXT,,,,,社会福祉士（常勤・専従）,238,.innerHTML
57,l_social_worker_01,TEXT,,,,,社会福祉士（常勤・非専従）,239,.innerHTML
58,l_social_worker_10,TEXT,,,,,社会福祉士（非常勤・専従）,240,.innerHTML
59,l_social_worker_11,TEXT,,,,,社会福祉士（非常勤・非専従）,241,.innerHTML
60,l_practical_training_00,TEXT,,,,,実務者研修（常勤・専従）,242,.innerHTML
61,l_practical_training_01,TEXT,,,,,実務者研修（常勤・非専従）,243,.innerHTML
62,l_practical_training_10,TEXT,,,,,実務者研修（非常勤・専従）,244,.innerHTML
63,l_practical_training_11,TEXT,,,,,実務者研修（非常勤・非専従）,245,.innerHTML
64,l_care_basis_00,TEXT,,,,,介護職員基礎研修（常勤・専従）,246,.innerHTML
65,l_care_basis_01,TEXT,,,,,介護職員基礎研修（常勤・非専従）,247,.innerHTML
66,l_care_basis_10,TEXT,,,,,介護職員基礎研修（非常勤・専従）,248,.innerHTML
67,l_care_basis_11,TEXT,,,,,介護職員基礎研修（非常勤・非専従）,249,.innerHTML
68,l_home_helper1_00,TEXT,,,,,訪問介護員　１級（常勤・専従）,250,.innerHTML
69,l_home_helper1_01,TEXT,,,,,訪問介護員　１級（常勤・非専従）,251,.innerHTML
70,l_home_helper1_10,TEXT,,,,,訪問介護員　１級（非常勤・専従）,252,.innerHTML
71,l_home_helper1_11,TEXT,,,,,訪問介護員　１級（非常勤・非専従）,253,.innerHTML
