table_name,,title,,,,,,,
care_welfare_facility,,介護老人福祉施設,,,,,,,
,,,,,,,,,
No,項目名,型,長さ,少数,必須,PK,備考,diffid,
1,office_id,INT,11,,Y,1,,,
2,name,TEXT,,,,,事業所名称,175,.innerHTML
3,company_type,TEXT,,,,,法人の種類,1,.innerHTML
4,company,TEXT,,,,,法人名称,4,.innerHTML
5,postcode,TEXT,,,,,郵便番号,176,.innerHTML
6,municipality,TEXT,,,,,市区町村コード,177,.innerHTML
7,address_1,TEXT,,,,,住所１,178,.innerHTML
8,address_2,TEXT,,,,,住所２,179,.innerHTML
9,tel,TEXT,,,,,電話番号,180,.innerHTML
10,fax,TEXT,,,,,FAX番号,181,.innerHTML
11,hp_address,TEXT,,,,,ホームページ,183,".attr(""href"")"
12,office_no,TEXT,,,,,介護保険事業所番号,184,.innerHTML
13,manager_name,TEXT,,,,,事業所の管理者の氏名,185,.innerHTML
14,founding_day,TEXT,,,,,事業の開始（予定）年月日,187,.innerHTML
15,traffic,TEXT,,,,,事業所までの主な利用交通手段,192,.innerHTML
16,doctor_00,TEXT,,,,,医師（常勤・専従）,193,.innerHTML
17,doctor_01,TEXT,,,,,医師（常勤・非専従）,194,.innerHTML
18,doctor_10,TEXT,,,,,医師（非常勤・専従）,195,.innerHTML
19,doctor_11,TEXT,,,,,医師（非常勤・非専従）,196,.innerHTML
20,lifepranner_00,TEXT,,,,,生活相談員（常勤・専従）,198,.innerHTML
21,lifepranner_01,TEXT,,,,,生活相談員（常勤・非専従）,199,.innerHTML
22,lifepranner_10,TEXT,,,,,生活相談員（非常勤・専従）,200,.innerHTML
23,lifepranner_11,TEXT,,,,,生活相談員（非常勤・非専従）,201,.innerHTML
24,nursing_staff_00,TEXT,,,,,看護職員（常勤・専従）,203,.innerHTML
25,nursing_staff_01,TEXT,,,,,看護職員（常勤・非専従）,204,.innerHTML
26,nursing_staff_10,TEXT,,,,,看護職員（非常勤・専従）,205,.innerHTML
27,nursing_staff_11,TEXT,,,,,看護職員（非常勤・非専従）,206,.innerHTML
28,carer_00,TEXT,,,,,介護職員（常勤・専従）,208,.innerHTML
29,carer_01,TEXT,,,,,介護職員（常勤・非専従）,209,.innerHTML
30,carer_10,TEXT,,,,,介護職員（非常勤・専従）,210,.innerHTML
31,carer_11,TEXT,,,,,介護職員（非常勤・非専従）,211,.innerHTML
32,dietitian_00,TEXT,,,,,管理栄養士（常勤・専従）,213,.innerHTML
33,dietitian_01,TEXT,,,,,管理栄養士（常勤・非専従）,214,.innerHTML
34,dietitian_10,TEXT,,,,,管理栄養士（非常勤・専従）,215,.innerHTML
35,dietitian_11,TEXT,,,,,管理栄養士（非常勤・非専従）,216,.innerHTML
36,dietician_00,TEXT,,,,,栄養士（常勤・専従）,218,.innerHTML
37,dietician_01,TEXT,,,,,栄養士（常勤・非専従）,219,.innerHTML
38,dietician_10,TEXT,,,,,栄養士（非常勤・専従）,220,.innerHTML
39,dietician_11,TEXT,,,,,栄養士（非常勤・非専従）,221,.innerHTML
40,functional_advisor_00,TEXT,,,,,機能訓練指導員（常勤・専従）,223,.innerHTML
41,functional_advisor_01,TEXT,,,,,機能訓練指導員（常勤・非専従）,224,.innerHTML
42,functional_advisor_10,TEXT,,,,,機能訓練指導員（非常勤・専従）,225,.innerHTML
43,functional_advisor_11,TEXT,,,,,機能訓練指導員（非常勤・非専従）,226,.innerHTML
44,care_manager_00,TEXT,,,,,介護支援専門員（常勤・専従）,228,.innerHTML
45,care_manager_01,TEXT,,,,,介護支援専門員（常勤・非専従）,229,.innerHTML
46,care_manager_10,TEXT,,,,,介護支援専門員（非常勤・専従）,230,.innerHTML
47,care_manager_11,TEXT,,,,,介護支援専門員（非常勤・非専従）,231,.innerHTML
48,cook_00,TEXT,,,,,調理員（常勤・専従）,233,.innerHTML
49,cook_01,TEXT,,,,,調理員（常勤・非専従）,234,.innerHTML
50,cook_10,TEXT,,,,,調理員（非常勤・専従）,235,.innerHTML
51,cook_11,TEXT,,,,,調理員（非常勤・非専従）,236,.innerHTML
52,clerk_00,TEXT,,,,,事務員（常勤・専従）,238,.innerHTML
53,clerk_01,TEXT,,,,,事務員（常勤・非専従）,239,.innerHTML
54,clerk_10,TEXT,,,,,事務員（非常勤・専従）,240,.innerHTML
55,clerk_11,TEXT,,,,,事務員（非常勤・非専従）,241,.innerHTML
56,otherwork_00,TEXT,,,,,その他の従業者（常勤・専従）,243,.innerHTML
57,otherwork_01,TEXT,,,,,その他の従業者（常勤・非専従）,244,.innerHTML
58,otherwork_10,TEXT,,,,,その他の従業者（非常勤・専従）,245,.innerHTML
59,otherwork_11,TEXT,,,,,その他の従業者（非常勤・非専従）,246,.innerHTML
60,l_care_worker_00,TEXT,,,,,介護福祉士（常勤・専従）,249,.innerHTML
61,l_care_worker_01,TEXT,,,,,介護福祉士（常勤・非専従）,250,.innerHTML
62,l_care_worker_10,TEXT,,,,,介護福祉士（非常勤・専従）,251,.innerHTML
63,l_care_worker_11,TEXT,,,,,介護福祉士（非常勤・非専従）,252,.innerHTML
64,l_practical_training_00,TEXT,,,,,実務者研修（常勤・専従）,253,.innerHTML
65,l_practical_training_01,TEXT,,,,,実務者研修（常勤・非専従）,254,.innerHTML
66,l_practical_training_10,TEXT,,,,,実務者研修（非常勤・専従）,255,.innerHTML
67,l_practical_training_11,TEXT,,,,,実務者研修（非常勤・非専従）,256,.innerHTML
68,l_care_basis_00,TEXT,,,,,介護職員基礎研修（常勤・専従）,257,.innerHTML
69,l_care_basis_01,TEXT,,,,,介護職員基礎研修（常勤・専従）,258,.innerHTML
70,l_care_basis_10,TEXT,,,,,介護職員基礎研修（常勤・専従）,259,.innerHTML
71,l_care_basis_11,TEXT,,,,,介護職員基礎研修（常勤・専従）,260,.innerHTML
72,l_home_helper1_00,TEXT,,,,,訪問介護員　１級（常勤・専従）,261,.innerHTML
73,l_home_helper1_01,TEXT,,,,,訪問介護員　１級（常勤・非専従）,262,.innerHTML
74,l_home_helper1_10,TEXT,,,,,訪問介護員　１級（非常勤・専従）,263,.innerHTML
