table_name,,title,,,,,,,
care_medical_facility,,介護療養型医療施設,,,,,,,
,,,,,,,,,
No,項目名,型,長さ,少数,必須,PK,備考,diffid,
1,office_id,INT,11,,Y,1,,,
2,name,TEXT,,,,,事業所名称,175,.innerHTML
3,company_type,NVARCHAR,20,,,,法人の種類,1,.innerHTML
4,company,TEXT,,,,,法人名称,4,.innerHTML
5,postcode,NVARCHAR,20,,,,郵便番号,176,.innerHTML
6,municipality,TEXT,,,,,市区町村コード,177,.innerHTML
7,address_1,TEXT,,,,,住所１,178,.innerHTML
8,address_2,TEXT,,,,,住所２,179,.innerHTML
9,tel,TEXT,,,,,電話番号,180,.innerHTML
10,fax,TEXT,,,,,FAX番号,181,.innerHTML
11,hp_address,TEXT,,,,,ホームページ,183,".attr(""href"")"
12,office_no,TEXT,,,,,介護保険事業所番号,184,.innerHTML
13,manager_name,NVARCHAR,20,,,,事業所の管理者の氏名,185,.innerHTML
14,founding_day,TEXT,,,,,事業の開始（予定）年月日,187,.innerHTML
15,traffic,TEXT,,,,,事業所までの主な利用交通手段,191,.innerHTML
17,doctor_1_00,TEXT,,,,,医師（常勤・専従）,252,.innerHTML
18,doctor_1_01,TEXT,,,,,医師（常勤・非専従）,253,.innerHTML
19,doctor_1_10,TEXT,,,,,医師（非常勤・専従）,254,.innerHTML
20,doctor_1_11,TEXT,,,,,医師（非常勤・非専従）,255,.innerHTML
,dentist_1_00,TEXT,,,,,歯科医師（常勤・専従）,257,.innerHTML
,dentist_1_01,TEXT,,,,,歯科医師（常勤・非専従）,258,.innerHTML
,dentist_1_10,TEXT,,,,,歯科医師（非常勤・専従）,259,.innerHTML
,dentist_1_11,TEXT,,,,,歯科医師（非常勤・非専従）,260,.innerHTML
21,pharmacist_1_00,TEXT,,,,,薬剤師（常勤・専従）,262,.innerHTML
22,pharmacist_1_01,TEXT,,,,,薬剤師（常勤・非専従）,263,.innerHTML
23,pharmacist_1_10,TEXT,,,,,薬剤師（非常勤・専従）,264,.innerHTML
24,pharmacist_1_11,TEXT,,,,,薬剤師（非常勤・非専従）,265,.innerHTML
25,nursing_staff_1_00,TEXT,,,,,看護職員（常勤・専従）,267,.innerHTML
26,nursing_staff_1_01,TEXT,,,,,看護職員（常勤・非専従）,268,.innerHTML
27,nursing_staff_1_10,TEXT,,,,,看護職員（非常勤・専従）,269,.innerHTML
28,nursing_staff_1_11,TEXT,,,,,看護職員（非常勤・非専従）,270,.innerHTML
29,carer_1_00,TEXT,,,,,介護職員（常勤・専従）,272,.innerHTML
30,carer_1_01,TEXT,,,,,介護職員（常勤・非専従）,273,.innerHTML
31,carer_1_10,TEXT,,,,,介護職員（非常勤・専従）,274,.innerHTML
32,carer_1_11,TEXT,,,,,介護職員（非常勤・非専従）,275,.innerHTML
,physical_therapist_1_00,TEXT,,,,,理学療法士（常勤・専従）,277,.innerHTML
,physical_therapist_1_01,TEXT,,,,,理学療法士（常勤・非専従）,278,.innerHTML
,physical_therapist_1_10,TEXT,,,,,理学療法士（非常勤・専従）,279,.innerHTML
,physical_therapist_1_11,TEXT,,,,,理学療法士（非常勤・非専従）,280,.innerHTML
,occupational_therapist_1_00,TEXT,,,,,作業療法士（常勤・専従）,282,.innerHTML
,occupational_therapist_1_01,TEXT,,,,,作業療法士（常勤・非専従）,283,.innerHTML
,occupational_therapist_1_10,TEXT,,,,,作業療法士（非常勤・専従）,284,.innerHTML
,occupational_therapist_1_11,TEXT,,,,,作業療法士（非常勤・非専従）,285,.innerHTML
,slh_therapist_1_00,TEXT,,,,,言語聴覚士（常勤・専従）,287,.innerHTML
,slh_therapist_1_01,TEXT,,,,,言語聴覚士（常勤・非専従）,288,.innerHTML
,slh_therapist_1_10,TEXT,,,,,言語聴覚士（非常勤・専従）,289,.innerHTML
,slh_therapist_1_11,TEXT,,,,,言語聴覚士（非常勤・非専従）,290,.innerHTML
,dietitian_1_00,TEXT,,,,,管理栄養士（常勤・専従）,292,.innerHTML
,dietitian_1_01,TEXT,,,,,管理栄養士（常勤・非専従）,293,.innerHTML
,dietitian_1_10,TEXT,,,,,管理栄養士（非常勤・専従）,294,.innerHTML
,dietitian_1_11,TEXT,,,,,管理栄養士（非常勤・非専従）,295,.innerHTML
,dietician_1_00,TEXT,,,,,栄養士（常勤・専従）,297,.innerHTML
,dietician_1_01,TEXT,,,,,栄養士（常勤・非専従）,298,.innerHTML
,dietician_1_10,TEXT,,,,,栄養士（非常勤・専従）,299,.innerHTML
,dietician_1_11,TEXT,,,,,栄養士（非常勤・非専従）,300,.innerHTML
,clinical_technologist_1_00,TEXT,,,,,臨床検査技師（常勤・専従）,302,.innerHTML
,clinical_technologist_1_01,TEXT,,,,,臨床検査技師（常勤・非専従）,303,.innerHTML
,clinical_technologist_1_10,TEXT,,,,,臨床検査技師（非常勤・専従）,304,.innerHTML
,clinical_technologist_1_11,TEXT,,,,,臨床検査技師（非常勤・非専従）,305,.innerHTML
,radiological_technologist_1_00,TEXT,,,,,診療放射線技師（常勤・専従）,307,.innerHTML
,radiological_technologist_1_01,TEXT,,,,,診療放射線技師（常勤・非専従）,308,.innerHTML
,radiological_technologist_1_10,TEXT,,,,,診療放射線技師（非常勤・専従）,309,.innerHTML
,radiological_technologist_1_11,TEXT,,,,,診療放射線技師（非常勤・非専従）,310,.innerHTML
,care_manager_1_00,TEXT,,,,,介護支援専門員（常勤・専従）,312,.innerHTML
,care_manager_1_01,TEXT,,,,,介護支援専門員（常勤・非専従）,313,.innerHTML
,care_manager_1_10,TEXT,,,,,介護支援専門員（非常勤・専従）,314,.innerHTML
,care_manager_1_11,TEXT,,,,,介護支援専門員（非常勤・非専従）,315,.innerHTML
,medical_social_worker_1_00,TEXT,,,,,医療ソーシャルワーカー（常勤・専従）,317,.innerHTML
,medical_social_worker_1_01,TEXT,,,,,医療ソーシャルワーカー（常勤・非専従）,318,.innerHTML
,medical_social_worker_1_10,TEXT,,,,,医療ソーシャルワーカー（非常勤・専従）,319,.innerHTML
,medical_social_worker_1_11,TEXT,,,,,医療ソーシャルワーカー（非常勤・非専従）,320,.innerHTML
