table_name,,title,,,,,,,
night_home_care,,夜間対応型訪問介護,,,,,,,
,,,,,,,,,
No,項目名,型,長さ,少数,必須,PK,備考,diffid,
1,office_id,INT,11,,Y,1,,,
2,name,TEXT,,,,,事業所名称,175,.innerHTML
3,company_type,TEXT,,,,,法人の種類,1,.innerHTML
4,company,TEXT,,,,,法人名称,4,.innerHTML
5,postcode,TEXT,,,,,郵便番号,176,.innerHTML
6,municipality,TEXT,,,,,市区町村コード,177,.innerHTML
7,address_1,TEXT,,,,,住所１,178,.innerHTML
8,address_2,TEXT,,,,,住所２,179,.innerHTML
9,tel,TEXT,,,,,電話番号,180,.innerHTML
10,fax,TEXT,,,,,FAX番号,181,.innerHTML
11,hp_address,TEXT,,,,,ホームページ,183,".attr(""href"")"
12,office_no,TEXT,,,,,介護保険事業所番号,184,.innerHTML
13,manager_name,TEXT,,,,,事業所の管理者の氏名,185,.innerHTML
14,founding_day,TEXT,,,,,事業の開始（予定）年月日,188,.innerHTML
15,traffic,TEXT,,,,,事業所までの主な利用交通手段,192,.innerHTML
16,operator_00,TEXT,,,,,オペレーター（常勤・専従）,193,.innerHTML
17,operator_01,TEXT,,,,,オペレーター（常勤・非専従）,194,.innerHTML
18,operator_10,TEXT,,,,,オペレーター（非常勤・専従）,195,.innerHTML
19,operator_11,TEXT,,,,,オペレーター（非常勤・非専従）,196,.innerHTML
20,interviewing_consultant_00,TEXT,,,,,面接相談員（常勤・専従）,198,.innerHTML
21,interviewing_consultant_01,TEXT,,,,,面接相談員（常勤・非専従）,199,.innerHTML
22,interviewing_consultant_10,TEXT,,,,,面接相談員（非常勤・専従）,200,.innerHTML
23,interviewing_consultant_11,TEXT,,,,,面接相談員（非常勤・非専従）,201,.innerHTML
24,home_helper_00,TEXT,,,,,訪問介護員等（常勤・専従）,203,.innerHTML
25,home_helper_01,TEXT,,,,,訪問介護員等（常勤・非専従）,204,.innerHTML
26,home_helper_10,TEXT,,,,,訪問介護員等（非常勤・専従）,205,.innerHTML
27,home_helper_11,TEXT,,,,,訪問介護員等（非常勤・非専従）,206,.innerHTML
28,clerk_00,TEXT,,,,,事務員（常勤・専従）,208,.innerHTML
29,clerk_01,TEXT,,,,,事務員（常勤・非専従）,209,.innerHTML
30,clerk_10,TEXT,,,,,事務員（非常勤・専従）,210,.innerHTML
31,clerk_11,TEXT,,,,,事務員（非常勤・非専従）,211,.innerHTML
32,otherwork_00,TEXT,,,,,その他の従業者（常勤・専従）,213,.innerHTML
33,otherwork_01,TEXT,,,,,その他の従業者（常勤・非専従）,214,.innerHTML
34,otherwork_10,TEXT,,,,,その他の従業者（非常勤・専従）,215,.innerHTML
35,otherwork_11,TEXT,,,,,その他の従業者（非常勤・非専従）,216,.innerHTML
36,l_care_worker_1_00,TEXT,,,,,介護福祉士（常勤・専従）,219,.innerHTML
37,l_care_worker_1_01,TEXT,,,,,介護福祉士（常勤・非専従）,220,.innerHTML
38,l_care_worker_1_10,TEXT,,,,,介護福祉士（非常勤・専従）,221,.innerHTML
39,l_care_worker_1_11,TEXT,,,,,介護福祉士（非常勤・非専従）,222,.innerHTML
40,l_practical_training_00,TEXT,,,,,実務者研修（常勤・専従）,223,.innerHTML
41,l_practical_training_01,TEXT,,,,,実務者研修（常勤・非専従）,224,.innerHTML
42,l_practical_training_10,TEXT,,,,,実務者研修（非常勤・専従）,225,.innerHTML
43,l_practical_training_11,TEXT,,,,,実務者研修（非常勤・非専従）,226,.innerHTML
44,l_care_basis_00,TEXT,,,,,介護職員基礎研修（常勤・専従）,227,.innerHTML
45,l_care_basis_01,TEXT,,,,,介護職員基礎研修（常勤・非専従）,228,.innerHTML
46,l_care_basis_10,TEXT,,,,,介護職員基礎研修（非常勤・専従）,229,.innerHTML
47,l_care_basis_11,TEXT,,,,,介護職員基礎研修（非常勤・非専従）,230,.innerHTML
48,l_home_helper1_00,TEXT,,,,,訪問介護員　１級（常勤・専従）,231,.innerHTML
49,l_home_helper1_01,TEXT,,,,,訪問介護員　１級（常勤・非専従）,232,.innerHTML
50,l_home_helper1_10,TEXT,,,,,訪問介護員　１級（非常勤・専従）,233,.innerHTML
51,l_home_helper1_11,TEXT,,,,,訪問介護員　１級（非常勤・非専従）,234,.innerHTML
52,l_home_helper2_00,TEXT,,,,,訪問介護員　２級（常勤・専従）,235,.innerHTML
53,l_home_helper2_01,TEXT,,,,,訪問介護員　２級（常勤・非専従）,236,.innerHTML
54,l_home_helper2_10,TEXT,,,,,訪問介護員　２級（非常勤・専従）,237,.innerHTML
55,l_home_helper2_11,TEXT,,,,,訪問介護員　２級（非常勤・非専従）,238,.innerHTML
56,l_home_helper_traning_00,TEXT,,,,,訪問介護員養成研修に相当するものとして都道府県知事が認めた研修の修了者（常勤・専従）,239,.innerHTML
57,l_home_helper_traning_01,TEXT,,,,,訪問介護員養成研修に相当するものとして都道府県知事が認めた研修の修了者（常勤・非専従）,240,.innerHTML
58,l_home_helper_traning_10,TEXT,,,,,訪問介護員養成研修に相当するものとして都道府県知事が認めた研修の修了者（非常勤・専従）,241,.innerHTML
59,l_home_helper_traning_11,TEXT,,,,,訪問介護員養成研修に相当するものとして都道府県知事が認めた研修の修了者（非常勤・非専従）,242,.innerHTML
60,l_nurse_00,TEXT,,,,,看護師（常勤・専従）,243,.innerHTML
61,l_nurse_01,TEXT,,,,,看護師（常勤・非専従）,244,.innerHTML
62,l_nurse_10,TEXT,,,,,看護師（非常勤・専従）,245,.innerHTML
63,l_nurse_11,TEXT,,,,,看護師（非常勤・非専従）,246,.innerHTML
64,l_semi_nurse_00,TEXT,,,,,准看護師（常勤・専従）,247,.innerHTML
65,l_semi_nurse_01,TEXT,,,,,准看護師（常勤・非専従）,248,.innerHTML
66,l_semi_nurse_10,TEXT,,,,,准看護師（非常勤・専従）,249,.innerHTML
67,l_semi_nurse_11,TEXT,,,,,准看護師（非常勤・非専従）,250,.innerHTML
68,l_care_worker_2_00,TEXT,,,,,介護福祉士（常勤・専従）,251,.innerHTML
69,l_care_worker_2_01,TEXT,,,,,介護福祉士（常勤・非専従）,252,.innerHTML
