table_name,,title,,,,,,,
small_multi_home,,小規模多機能型居宅介護,,,,,,,
,,,,,,,,,
No,項目名,型,長さ,少数,必須,PK,備考,diffid,
1,office_id,INT,11,,Y,1,,,
2,name,TEXT,,,,,事業所名称,175,.innerHTML
3,company_type,TEXT,,,,,法人の種類,1,.innerHTML
4,company,TEXT,,,,,法人名称,4,.innerHTML
5,postcode,TEXT,,,,,郵便番号,176,.innerHTML
6,municipality,TEXT,,,,,市区町村コード,177,.innerHTML
7,address_1,TEXT,,,,,住所１,178,.innerHTML
8,address_2,TEXT,,,,,住所２,179,.innerHTML
9,tel,TEXT,,,,,電話番号,180,.innerHTML
10,fax,TEXT,,,,,FAX番号,181,.innerHTML
11,hp_address,TEXT,,,,,ホームページ,183,".attr(""href"")"
12,office_no,TEXT,,,,,介護保険事業所番号,187,.innerHTML
13,manager_name,TEXT,,,,,事業所の管理者の氏名,188,.innerHTML
14,founding_day,TEXT,,,,,事業の開始（予定）年月日,190,.innerHTML
15,traffic,TEXT,,,,,事業所までの主な利用交通手段,197,.innerHTML
16,manager_00,TEXT,,,,,管理者（常勤・専従）,198,.innerHTML
17,manager_01,TEXT,,,,,管理者（常勤・非専従）,199,.innerHTML
18,care_manager_00,TEXT,,,,,介護支援専門員（常勤・専従）,201,.innerHTML
19,care_manager_01,TEXT,,,,,介護支援専門員（常勤・非専従）,202,.innerHTML
20,care_manager_10,TEXT,,,,,介護支援専門員（非常勤・専従）,203,.innerHTML
21,care_manager_11,TEXT,,,,,介護支援専門員（非常勤・非専従）,204,.innerHTML
22,carer_00,TEXT,,,,,介護職員（常勤・専従）,206,.innerHTML
23,carer_01,TEXT,,,,,介護職員（常勤・非専従）,207,.innerHTML
24,carer_10,TEXT,,,,,介護職員（非常勤・専従）,208,.innerHTML
25,carer_11,TEXT,,,,,介護職員（非常勤・非専従）,209,.innerHTML
26,nursing_staff_00,TEXT,,,,,看護職員（常勤・専従）,211,.innerHTML
27,nursing_staff_01,TEXT,,,,,看護職員（常勤・非専従）,212,.innerHTML
28,nursing_staff_10,TEXT,,,,,看護職員（非常勤・専従）,213,.innerHTML
29,nursing_staff_11,TEXT,,,,,看護職員（非常勤・非専従）,214,.innerHTML
30,otherwork_00,TEXT,,,,,その他の従業者（常勤・専従）,216,.innerHTML
31,otherwork_01,TEXT,,,,,その他の従業者（常勤・非専従）,217,.innerHTML
32,otherwork_10,TEXT,,,,,その他の従業者（非常勤・専従）,218,.innerHTML
33,otherwork_11,TEXT,,,,,その他の従業者（非常勤・非専従）,219,.innerHTML
34,l_care_worker_00,TEXT,,,,,介護福祉士（常勤・専従）,222,.innerHTML
35,l_care_worker_01,TEXT,,,,,介護福祉士（常勤・非専従）,223,.innerHTML
36,l_care_worker_10,TEXT,,,,,介護福祉士（非常勤・専従）,224,.innerHTML
37,l_care_worker_11,TEXT,,,,,介護福祉士（非常勤・非専従）,225,.innerHTML
38,l_practical_training_00,TEXT,,,,,実務者研修（常勤・専従）,226,.innerHTML
39,l_practical_training_01,TEXT,,,,,実務者研修（常勤・非専従）,227,.innerHTML
40,l_practical_training_10,TEXT,,,,,実務者研修（非常勤・専従）,228,.innerHTML
41,l_practical_training_11,TEXT,,,,,実務者研修（非常勤・非専従）,229,.innerHTML
42,l_care_basis_00,TEXT,,,,,介護職員基礎研修（常勤・専従）,230,.innerHTML
43,l_care_basis_01,TEXT,,,,,介護職員基礎研修（常勤・非専従）,231,.innerHTML
44,l_care_basis_10,TEXT,,,,,介護職員基礎研修（非常勤・専従）,232,.innerHTML
45,l_care_basis_11,TEXT,,,,,介護職員基礎研修（非常勤・非専従）,233,.innerHTML
46,l_home_helper1_00,TEXT,,,,,訪問介護員　１級（常勤・専従）,234,.innerHTML
47,l_home_helper1_01,TEXT,,,,,訪問介護員　１級（常勤・非専従）,235,.innerHTML
48,l_home_helper1_10,TEXT,,,,,訪問介護員　１級（非常勤・専従）,236,.innerHTML
49,l_home_helper1_11,TEXT,,,,,訪問介護員　１級（非常勤・非専従）,237,.innerHTML
50,l_home_helper2_00,TEXT,,,,,訪問介護員　２級（常勤・専従）,238,.innerHTML
51,l_home_helper2_01,TEXT,,,,,訪問介護員　２級（常勤・非専従）,239,.innerHTML
52,l_home_helper2_10,TEXT,,,,,訪問介護員　２級（非常勤・専従）,240,.innerHTML
53,l_home_helper2_11,TEXT,,,,,訪問介護員　２級（非常勤・非専従）,241,.innerHTML
54,l_caremanager_00,TEXT,,,,,介護支援専門員（常勤・専従）,242,.innerHTML
55,l_caremanager_01,TEXT,,,,,介護支援専門員（常勤・非専従）,243,.innerHTML
56,l_caremanager_10,TEXT,,,,,介護支援専門員（非常勤・専従）,244,.innerHTML
57,l_caremanager_11,TEXT,,,,,介護支援専門員（非常勤・非専従）,245,.innerHTML
58,office_time_kayoi,TEXT,,,,,営業時間（通いサービス）,284,.innerHTML
59,office_time_stay,TEXT,,,,,営業時間（宿泊サービス）,285,.innerHTML
60,service_area,TEXT,,,,,事業所が通常時に介護サービスを提供する地域,287,.innerHTML
61,sougei,TEXT,,,,,利用者の送迎の実施,288,".attr(""alt"")"
62,sub_nintisyo_1,TEXT,,,,,認知症加算（Ⅰ）（予防を除く）,289,".attr(""alt"")"
63,sub_nintisyo_2,TEXT,,,,,認知症加算（Ⅱ）（予防を除く）,290,".attr(""alt"")"
64,sub_kangohaiti_1,TEXT,,,,,看護職員配置加算（Ⅰ）（予防を除く）,291,".attr(""alt"")"
65,sub_kangohaiti_2,TEXT,,,,,看護職員配置加算（Ⅱ）（予防を除く）,292,".attr(""alt"")"
66,service_supply_1,TEXT,,,,,サービス提供体制強化加算（Ⅰ）,293,".attr(""alt"")"
67,service_supply_2,TEXT,,,,,サービス提供体制強化加算（Ⅱ）,294,".attr(""alt"")"
68,service_supply_3,TEXT,,,,,サービス提供体制強化加算（Ⅲ）,295,".attr(""alt"")"
69,care_staff_improved_1,TEXT,,,,,介護職員処遇改善加算（Ⅰ）,296,".attr(""alt"")"
70,care_staff_improved_2,TEXT,,,,,介護職員処遇改善加算（Ⅱ）,297,".attr(""alt"")"
