table_name,,title,,,,,,,
routine_home,,定期巡回・随時対応型訪問介護看護,,,,,,,
,,,,,,,,,
No,項目名,型,長さ,少数,必須,PK,備考,diffid,
1,office_id,INT,11,,Y,1,,,
2,name,TEXT,,,,,事業所名称,175,.innerHTML
3,company_type,TEXT,,,,,法人の種類,1,.innerHTML
4,company,TEXT,,,,,法人名称,4,.innerHTML
5,postcode,TEXT,,,,,郵便番号,176,.innerHTML
6,municipality,TEXT,,,,,市区町村コード,177,.innerHTML
7,address_1,TEXT,,,,,住所１,178,.innerHTML
8,address_2,TEXT,,,,,住所２,179,.innerHTML
9,tel,TEXT,,,,,電話番号,180,.innerHTML
10,fax,TEXT,,,,,FAX番号,181,.innerHTML
11,hp_address,TEXT,,,,,ホームページ,183,".attr(""href"")"
12,office_no,TEXT,,,,,介護保険事業所番号,184,.innerHTML
13,manager_name,TEXT,,,,,事業所の管理者の氏名,185,.innerHTML
14,founding_day,TEXT,,,,,事業の開始（予定）年月日,188,.innerHTML
15,traffic,TEXT,,,,,事業所までの主な利用交通手段,192,.innerHTML
16,office_form,TEXT,,,,,事業所の形態,193,.innerHTML
17,operator_00,TEXT,,,,,オペレーター（常勤・専従）,223,.innerHTML
18,operator_01,TEXT,,,,,オペレーター（常勤・非専従）,224,.innerHTML
19,operator_10,TEXT,,,,,オペレーター（非常勤・専従）,225,.innerHTML
20,operator_11,TEXT,,,,,オペレーター（非常勤・非専従）,226,.innerHTML
21,home_helper_00,TEXT,,,,,訪問介護員等（常勤・専従）,228,.innerHTML
22,home_helper_01,TEXT,,,,,訪問介護員等（常勤・非専従）,229,.innerHTML
23,home_helper_10,TEXT,,,,,訪問介護員等（非常勤・専従）,230,.innerHTML
24,home_helper_11,TEXT,,,,,訪問介護員等（非常勤・非専従）,231,.innerHTML
25,health_nurse_00,TEXT,,,,,保健師（常勤・専従）,233,.innerHTML
26,health_nurse_01,TEXT,,,,,保健師（常勤・非専従）,234,.innerHTML
27,health_nurse_10,TEXT,,,,,保健師（非常勤・専従）,235,.innerHTML
28,health_nurse_11,TEXT,,,,,保健師（非常勤・非専従）,236,.innerHTML
29,nurse_00,TEXT,,,,,看護師（常勤・専従）,238,.innerHTML
30,nurse_01,TEXT,,,,,看護師（常勤・非専従）,239,.innerHTML
31,nurse_10,TEXT,,,,,看護師（非常勤・専従）,240,.innerHTML
32,nurse_11,TEXT,,,,,看護師（非常勤・非専従）,241,.innerHTML
33,semi_nurse_00,TEXT,,,,,准看護師（常勤・専従）,243,.innerHTML
34,semi_nurse_01,TEXT,,,,,准看護師（常勤・非専従）,244,.innerHTML
35,semi_nurse_10,TEXT,,,,,准看護師（非常勤・専従）,245,.innerHTML
36,semi_nurse_11,TEXT,,,,,准看護師（非常勤・非専従）,246,.innerHTML
37,physical_therapist_00,TEXT,,,,,理学療法士（常勤・専従）,248,.innerHTML
38,physical_therapist_01,TEXT,,,,,理学療法士（常勤・非専従）,249,.innerHTML
39,physical_therapist_10,TEXT,,,,,理学療法士（非常勤・専従）,250,.innerHTML
40,physical_therapist_11,TEXT,,,,,理学療法士（非常勤・非専従）,251,.innerHTML
41,occupational_therapist_00,TEXT,,,,,作業療法士（常勤・専従）,253,.innerHTML
42,occupational_therapist_01,TEXT,,,,,作業療法士（常勤・非専従）,254,.innerHTML
43,occupational_therapist_10,TEXT,,,,,作業療法士（非常勤・専従）,255,.innerHTML
44,occupational_therapist_11,TEXT,,,,,作業療法士（非常勤・非専従）,256,.innerHTML
45,slh_therapist_00,TEXT,,,,,言語聴覚士（常勤・専従）,258,.innerHTML
46,slh_therapist_01,TEXT,,,,,言語聴覚士（常勤・非専従）,259,.innerHTML
47,slh_therapist_10,TEXT,,,,,言語聴覚士（非常勤・専従）,260,.innerHTML
48,slh_therapist_11,TEXT,,,,,言語聴覚士（非常勤・非専従）,261,.innerHTML
49,clerk_00,TEXT,,,,,事務員（常勤・専従）,263,.innerHTML
50,clerk_01,TEXT,,,,,事務員（常勤・非専従）,264,.innerHTML
51,clerk_10,TEXT,,,,,事務員（非常勤・専従）,265,.innerHTML
52,clerk_11,TEXT,,,,,事務員（非常勤・非専従）,266,.innerHTML
53,otherwork_00,TEXT,,,,,その他の従業者（常勤・専従）,268,.innerHTML
54,otherwork_01,TEXT,,,,,その他の従業者（常勤・非専従）,269,.innerHTML
55,otherwork_10,TEXT,,,,,その他の従業者（非常勤・専従）,270,.innerHTML
56,otherwork_11,TEXT,,,,,その他の従業者（非常勤・非専従）,271,.innerHTML
57,l_care_worker_1_00,TEXT,,,,,介護福祉士（常勤・専従）,274,.innerHTML
58,l_care_worker_1_01,TEXT,,,,,介護福祉士（常勤・非専従）,275,.innerHTML
59,l_care_worker_1_10,TEXT,,,,,介護福祉士（非常勤・専従）,276,.innerHTML
60,l_care_worker_1_11,TEXT,,,,,介護福祉士（非常勤・非専従）,277,.innerHTML
61,l_practical_training_00,TEXT,,,,,実務者研修（常勤・専従）,278,.innerHTML
62,l_practical_training_01,TEXT,,,,,実務者研修（常勤・非専従）,279,.innerHTML
63,l_practical_training_10,TEXT,,,,,実務者研修（非常勤・専従）,280,.innerHTML
64,l_practical_training_11,TEXT,,,,,実務者研修（非常勤・非専従）,281,.innerHTML
65,l_care_beginning_00,TEXT,,,,,介護職員初任者研修（常勤・専従）,282,.innerHTML
66,l_care_beginning_01,TEXT,,,,,介護職員初任者研修（常勤・非専従）,283,.innerHTML
67,l_care_beginning_10,TEXT,,,,,介護職員初任者研修（非常勤・専従）,284,.innerHTML
68,l_care_beginning_11,TEXT,,,,,介護職員初任者研修（非常勤・非専従）,285,.innerHTML
69,l_nurse_00,TEXT,,,,,看護師（常勤・専従）,286,.innerHTML
70,l_nurse_01,TEXT,,,,,看護師（常勤・非専従）,287,.innerHTML
71,l_nurse_10,TEXT,,,,,看護師（非常勤・専従）,288,.innerHTML
72,l_nurse_11,TEXT,,,,,看護師（非常勤・非専従）,289,.innerHTML
73,l_semi_nurse_00,TEXT,,,,,准看護師（常勤・専従）,290,.innerHTML
74,l_semi_nurse_01,TEXT,,,,,准看護師（常勤・非専従）,291,.innerHTML
